uniprot_id,nr_code,common_name,http_status,retrieved_at_utc,targets_returned,stage2_targets_expected,stage2_targets_matched,targets_outside_stage2_scope,missing_stage2_targets,raw_response_file,raw_response_sha256,success,error_message
Q14994,NR1I3,CAR,200,2026-09-23T17:32:29.599954+00:00,2,2,2,[],[],data/raw/api/rcsb/sequence_coordinates/Q14994.json,ebc76dd8d0041454cc9a17a1442586e16a0a2574bd2c2865e30ada3c0a5d7d47,True,
P11474,NR3B1,ERRα,200,2026-09-23T17:32:30.757192+00:00,6,6,6,[],[],data/raw/api/rcsb/sequence_coordinates/P11474.json,0f7411c7fa92487785187b1d1e6a3c9985e6f0c3dffd24c73ff3156bbf72c3d5,True,
O95718,NR3B2,ERRβ,200,2026-09-23T17:32:32.723205+00:00,3,3,3,[],[],data/raw/api/rcsb/sequence_coordinates/O95718.json,68e878ec272d19d493886eddfb14a0811f28145b8464c0d36381a4db25ac2985,True,
P62508,NR3B3,ERRγ,200,2026-09-23T17:32:33.615402+00:00,43,43,43,[],[],data/raw/api/rcsb/sequence_coordinates/P62508.json,e0dbbc625894f7838af92170390306f444a5557338084fdd04173c991a4cb943,True,
Q96RI1,NR1H4,FXR,200,2026-09-23T17:32:39.185189+00:00,92,92,92,[],[],data/raw/api/rcsb/sequence_coordinates/Q96RI1.json,f0ad0c8264cfc4648134ce67ee9c30ffe246fbe6cc1abb2b1859f50f6cda662a,True,
P41235,NR2A1,HNF4α,200,2026-09-23T17:32:40.293736+00:00,8,8,8,[],[],data/raw/api/rcsb/sequence_coordinates/P41235.json,e981d5a581ee24629832265ea1272e30d9e6d52cd09798a8d74590305202d7db,True,
Q14541,NR2A2,HNF4γ,200,2026-09-23T17:32:42.133070+00:00,1,1,1,[],[],data/raw/api/rcsb/sequence_coordinates/Q14541.json,4272efbd4022d9ec1b502a105986e6c1de0fb58311ea3a4185c301c35062d36d,True,
O00482,NR5A2,LRH-1,200,2026-09-23T17:32:43.451525+00:00,30,28,28,"[""8ZZZ_1"", ""8ZZZ_2""]",[],data/raw/api/rcsb/sequence_coordinates/O00482.json,7325d2760cc473e3af6b83d666a417a97caa828391a191942b6701f88a8b0419,True,
Q13133,NR1H3,LXRα,200,2026-09-23T17:32:46.810811+00:00,7,7,7,[],[],data/raw/api/rcsb/sequence_coordinates/Q13133.json,36054f6fe4d69abeddc17207bbb6498e95fd4740af8ced9c2a3cdff2da97e98b,True,
P55055,NR1H2,LXRβ,200,2026-09-23T17:32:47.644472+00:00,25,25,25,[],[],data/raw/api/rcsb/sequence_coordinates/P55055.json,e8428d5ebd8f032a4cd63332e3c27b68bfd16038634096d1900b625e01525e31,True,
P22736,NR4A1,NUR77,200,2026-09-23T17:32:49.970535+00:00,22,22,22,[],[],data/raw/api/rcsb/sequence_coordinates/P22736.json,ef51fd6eeb944ebdf5c0af253340f72b9666d2f3af81b7e3e2889c352531e52a,True,
P43354,NR4A2,NURR1,200,2026-09-23T17:32:52.228284+00:00,10,10,10,[],[],data/raw/api/rcsb/sequence_coordinates/P43354.json,624b4a631270f91de75a6df905d176c36185493b3acc68f834d1fa3a2790a724,True,
Q07869,NR1C1,PPARα,200,2026-09-23T17:32:53.445390+00:00,79,79,79,[],[],data/raw/api/rcsb/sequence_coordinates/Q07869.json,b9e00f4939fac453a2bebcf3e58234052c24476b747dd03d67fe6e24196a692f,True,
Q03181,NR1C2,PPARδ,200,2026-09-23T17:32:54.331330+00:00,56,56,56,[],[],data/raw/api/rcsb/sequence_coordinates/Q03181.json,9aeeef7d24c964f18fb076c5de202d3cd4cd41726d2cd3e1f402ea98689e0fce,True,
P37231,NR1C3,PPARγ,200,2026-09-23T17:32:58.271371+00:00,383,383,383,[],[],data/raw/api/rcsb/sequence_coordinates/P37231.json,30bdc05c3c5a72a895b8b73eb16496d98dc52377ec6bcddc0a734a83b2b618e7,True,
O75469,NR1I2,PXR,200,2026-09-23T17:33:00.151938+00:00,80,80,80,[],[],data/raw/api/rcsb/sequence_coordinates/O75469.json,8d7d8ef20e53fbcecf0602be94b0d7899c9a4ad2b29e055a66d68faf511c69e8,True,
P20393,NR1D1,Rev-erbα,200,2026-09-23T17:33:01.758058+00:00,5,5,5,[],[],data/raw/api/rcsb/sequence_coordinates/P20393.json,125cf8f57aea18507021d07585554e842eee7812c04a59022fce1a5b43688bc5,True,
Q14995,NR1D2,Rev-erbβ,200,2026-09-23T17:33:04.591853+00:00,6,6,6,[],[],data/raw/api/rcsb/sequence_coordinates/Q14995.json,c4412deddd194e12b37bb90b29310a933b80f506eda3fcef9a5fcc978982265e,True,
P35398,NR1F1,RORα,200,2026-09-23T17:33:06.323301+00:00,3,3,3,[],[],data/raw/api/rcsb/sequence_coordinates/P35398.json,f74214794a90df74a270aab1be0df410fc931bb1964329e9504a8ce761d5477f,True,
Q92753,NR1F2,RORβ,200,2026-09-23T17:33:08.113058+00:00,0,0,0,[],[],data/raw/api/rcsb/sequence_coordinates/Q92753.json,cc63ac5ae225980300d7772f2f3315a5e3cd5d20ba9380ef5be38918ae639ffa,True,
P51449,NR1F3,RORγ,200,2026-09-23T17:33:10.039574+00:00,165,165,165,[],[],data/raw/api/rcsb/sequence_coordinates/P51449.json,b3e1c9f27edf8c2047d762462f6642368a41a3ea1092d62c0e1dc1cd0f6d2053,True,
P19793,NR2B1,RXRα,200,2026-09-23T17:33:12.629688+00:00,111,111,111,[],[],data/raw/api/rcsb/sequence_coordinates/P19793.json,d62e1609800bc641ac9766cef5996a3cd09d3fad2cc1c2bf7b174e3e0a3ba990,True,
P28702,NR2B2,RXRβ,200,2026-09-23T17:33:13.811220+00:00,7,7,7,[],[],data/raw/api/rcsb/sequence_coordinates/P28702.json,4747531fe8968bbdbcf8cb22ae69fe77b9b74d9149942e897f11763f61f08e92,True,
P48443,NR2B3,RXRγ,200,2026-09-23T17:33:16.214230+00:00,2,2,2,[],[],data/raw/api/rcsb/sequence_coordinates/P48443.json,954d3d03fde0645b207b454468ac5c5c0d00d178a13004411f29d3ec9d28a399,True,
Q13285,NR5A1,SF-1,200,2026-09-23T17:33:17.085969+00:00,6,6,6,[],[],data/raw/api/rcsb/sequence_coordinates/Q13285.json,e970085bdc6b0d584503ae87633fb7530925b5c5c846613f83d49a546db23d62,True,
P13056,NR2C1,TR2,200,2026-09-23T17:33:20.921194+00:00,0,0,0,[],[],data/raw/api/rcsb/sequence_coordinates/P13056.json,e7e0d886960071d46fb3024dfed17050c3b4e448a4e7c8f17aa196fc52a55502,True,
P49116,NR2C2,TR4,200,2026-09-23T17:33:21.911613+00:00,5,5,5,[],[],data/raw/api/rcsb/sequence_coordinates/P49116.json,b2d8ac7634bde877098d02ea380658506b4d58207759c263b090fd35b252d05d,True,
P10589,NR2F1,COUP-TFI,200,2026-09-23T17:33:22.894522+00:00,1,1,1,[],[],data/raw/api/rcsb/sequence_coordinates/P10589.json,4e06367576ce698ffebffe4245dd92614f40b2261e88e3ed4c5da43fa2130ae8,True,
P24468,NR2F2,COUP-TFII,200,2026-09-23T17:33:24.202590+00:00,1,1,1,[],[],data/raw/api/rcsb/sequence_coordinates/P24468.json,46ba0706cc849da9b14b119d5e7d1cc04378d601b8495ec7be47667a5acafc66,True,
P51843,NR0B1,DAX-1,200,2026-09-23T17:33:26.505569+00:00,1,1,1,[],[],data/raw/api/rcsb/sequence_coordinates/P51843.json,63a91003be1078b3d6394ca147a66c8c594e7cb6e60b45f8f969e8ff11cab167,True,
P10588,NR2F6,EAR-2,200,2026-09-23T17:33:27.324223+00:00,1,1,1,[],[],data/raw/api/rcsb/sequence_coordinates/P10588.json,06ed9be471cdffaad0fe5ab63f3f57db040ffedd402c7f4a674aac82246206ec,True,
Q15406,NR6A1,GCNF,200,2026-09-23T17:33:28.486835+00:00,0,0,0,[],[],data/raw/api/rcsb/sequence_coordinates/Q15406.json,7ae8d2370e9f3113438ce7277f5ee96ff48b22529da9f5bfcba43c4b28c90190,True,
Q92570,NR4A3,NOR-1,200,2026-09-23T17:33:29.638254+00:00,1,1,1,[],[],data/raw/api/rcsb/sequence_coordinates/Q92570.json,256779e52222c1866a482bfdd3b0e766fcf74a33417e3c7a612a0ab1a94bc809,True,
Q9Y5X4,NR2E3,PNR,200,2026-09-23T17:33:30.454727+00:00,1,1,1,[],[],data/raw/api/rcsb/sequence_coordinates/Q9Y5X4.json,e96fdb9ac31713dc31090ab523e8c6455910190058f03505adc6a6d945337c06,True,
Q15466,NR0B2,SHP,200,2026-09-23T17:33:31.491550+00:00,14,14,14,[],[],data/raw/api/rcsb/sequence_coordinates/Q15466.json,3d4ebb8c942ac1927f0a12fb85204ff877adf01a13af384fcda3f5e657af9d30,True,
Q9Y466,NR2E1,TLX,200,2026-09-23T17:33:33.521752+00:00,1,1,1,[],[],data/raw/api/rcsb/sequence_coordinates/Q9Y466.json,0026ab8ffbc1a3a767fdc157ceb7516f5c16d5b7257d34fca07066677a6a792f,True,
