uniprot_id,nr_code,common_name,pdb_id,polymer_entity_id,entity_id,candidate_instance_count,all_candidate_instance_ids_json,all_candidate_qc_json,selected_instance_id,selected_label_asym_id,selected_auth_asym_id,selected_model_num,selected_observed_full_lbd_ca_coverage,selected_bfactor_usable_full_lbd_coverage,tie_break_step,selection_reason
P13631,NR1B3,RARγ,1EXX,1EXX_1,1,1,"[""1EXX.A""]","[{""instance_id"": ""1EXX.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.991489, ""bfactor_usable_full_lbd_coverage"": 0.991489, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 2}]",1EXX.A,A,A,1,0.991489,0.991489,NO_TIE_SINGLE_INSTANCE,1 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1EXX.A via: NO_TIE_SINGLE_INSTANCE.
P19793,NR2B1,RXRα,1FBY,1FBY_1,1,2,"[""1FBY.A"", ""1FBY.B""]","[{""instance_id"": ""1FBY.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""B"", ""observed_full_lbd_ca_coverage"": 0.913793, ""bfactor_usable_full_lbd_coverage"": 0.913793, ""internal_missing_residue_count"": 18, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 20}, {""instance_id"": ""1FBY.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.922414, ""bfactor_usable_full_lbd_coverage"": 0.922414, ""internal_missing_residue_count"": 18, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 18}]",1FBY.A,A,A,1,0.922414,0.922414,highest positive-occupancy full standardized-LBD Ca coverage,2 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1FBY.A via: highest positive-occupancy full standardized-LBD Ca coverage.
P13631,NR1B3,RARγ,1FCX,1FCX_1,1,1,"[""1FCX.A""]","[{""instance_id"": ""1FCX.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.991489, ""bfactor_usable_full_lbd_coverage"": 0.991489, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 0}]",1FCX.A,A,A,1,0.991489,0.991489,NO_TIE_SINGLE_INSTANCE,1 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1FCX.A via: NO_TIE_SINGLE_INSTANCE.
P13631,NR1B3,RARγ,1FCY,1FCY_1,1,1,"[""1FCY.A""]","[{""instance_id"": ""1FCY.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.991489, ""bfactor_usable_full_lbd_coverage"": 0.991489, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 0}]",1FCY.A,A,A,1,0.991489,0.991489,NO_TIE_SINGLE_INSTANCE,1 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1FCY.A via: NO_TIE_SINGLE_INSTANCE.
P13631,NR1B3,RARγ,1FCZ,1FCZ_1,1,1,"[""1FCZ.A""]","[{""instance_id"": ""1FCZ.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.991489, ""bfactor_usable_full_lbd_coverage"": 0.991489, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 0}]",1FCZ.A,A,A,1,0.991489,0.991489,NO_TIE_SINGLE_INSTANCE,1 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1FCZ.A via: NO_TIE_SINGLE_INSTANCE.
P13631,NR1B3,RARγ,1FD0,1FD0_1,1,1,"[""1FD0.A""]","[{""instance_id"": ""1FD0.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.991489, ""bfactor_usable_full_lbd_coverage"": 0.991489, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 0}]",1FD0.A,A,A,1,0.991489,0.991489,NO_TIE_SINGLE_INSTANCE,1 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1FD0.A via: NO_TIE_SINGLE_INSTANCE.
P37231,NR1C3,PPARγ,1FM6,1FM6_2,2,2,"[""1FM6.B"", ""1FM6.D""]","[{""instance_id"": ""1FM6.D"", ""label_asym_id"": ""D"", ""auth_asym_id"": ""X"", ""observed_full_lbd_ca_coverage"": 1.0, ""bfactor_usable_full_lbd_coverage"": 1.0, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 0}, {""instance_id"": ""1FM6.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""D"", ""observed_full_lbd_ca_coverage"": 1.0, ""bfactor_usable_full_lbd_coverage"": 1.0, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 0}]",1FM6.B,B,D,1,1.0,1.0,lexicographically smallest label_asym_id,2 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1FM6.B via: lexicographically smallest label_asym_id.
P19793,NR2B1,RXRα,1FM6,1FM6_1,1,2,"[""1FM6.A"", ""1FM6.C""]","[{""instance_id"": ""1FM6.C"", ""label_asym_id"": ""C"", ""auth_asym_id"": ""U"", ""observed_full_lbd_ca_coverage"": 1.0, ""bfactor_usable_full_lbd_coverage"": 1.0, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 0}, {""instance_id"": ""1FM6.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 1.0, ""bfactor_usable_full_lbd_coverage"": 1.0, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 0}]",1FM6.A,A,A,1,1.0,1.0,lexicographically smallest label_asym_id,2 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1FM6.A via: lexicographically smallest label_asym_id.
P37231,NR1C3,PPARγ,1FM9,1FM9_2,2,1,"[""1FM9.B""]","[{""instance_id"": ""1FM9.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""D"", ""observed_full_lbd_ca_coverage"": 1.0, ""bfactor_usable_full_lbd_coverage"": 1.0, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 0}]",1FM9.B,B,D,1,1.0,1.0,NO_TIE_SINGLE_INSTANCE,1 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1FM9.B via: NO_TIE_SINGLE_INSTANCE.
P19793,NR2B1,RXRα,1FM9,1FM9_1,1,1,"[""1FM9.A""]","[{""instance_id"": ""1FM9.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 1.0, ""bfactor_usable_full_lbd_coverage"": 1.0, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 0}]",1FM9.A,A,A,1,1.0,1.0,NO_TIE_SINGLE_INSTANCE,1 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1FM9.A via: NO_TIE_SINGLE_INSTANCE.
P19793,NR2B1,RXRα,1G1U,1G1U_1,1,4,"[""1G1U.A"", ""1G1U.B"", ""1G1U.C"", ""1G1U.D""]","[{""instance_id"": ""1G1U.D"", ""label_asym_id"": ""D"", ""auth_asym_id"": ""D"", ""observed_full_lbd_ca_coverage"": 0.982759, ""bfactor_usable_full_lbd_coverage"": 0.982759, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 4}, {""instance_id"": ""1G1U.C"", ""label_asym_id"": ""C"", ""auth_asym_id"": ""C"", ""observed_full_lbd_ca_coverage"": 0.974138, ""bfactor_usable_full_lbd_coverage"": 0.974138, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 6}, {""instance_id"": ""1G1U.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""B"", ""observed_full_lbd_ca_coverage"": 0.982759, ""bfactor_usable_full_lbd_coverage"": 0.982759, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 4}, {""instance_id"": ""1G1U.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.982759, ""bfactor_usable_full_lbd_coverage"": 0.982759, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 4}]",1G1U.A,A,A,1,0.982759,0.982759,highest positive-occupancy full standardized-LBD Ca coverage,4 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1G1U.A via: highest positive-occupancy full standardized-LBD Ca coverage.
P03372,NR3A1,ERα,1G50,1G50_1,1,3,"[""1G50.A"", ""1G50.B"", ""1G50.C""]","[{""instance_id"": ""1G50.C"", ""label_asym_id"": ""C"", ""auth_asym_id"": ""C"", ""observed_full_lbd_ca_coverage"": 1.0, ""bfactor_usable_full_lbd_coverage"": 1.0, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 0}, {""instance_id"": ""1G50.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""B"", ""observed_full_lbd_ca_coverage"": 1.0, ""bfactor_usable_full_lbd_coverage"": 1.0, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 0}, {""instance_id"": ""1G50.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 1.0, ""bfactor_usable_full_lbd_coverage"": 1.0, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 0}]",1G50.A,A,A,1,1.0,1.0,lexicographically smallest label_asym_id,3 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1G50.A via: lexicographically smallest label_asym_id.
P19793,NR2B1,RXRα,1G5Y,1G5Y_1,1,4,"[""1G5Y.A"", ""1G5Y.B"", ""1G5Y.C"", ""1G5Y.D""]","[{""instance_id"": ""1G5Y.D"", ""label_asym_id"": ""D"", ""auth_asym_id"": ""D"", ""observed_full_lbd_ca_coverage"": 0.982759, ""bfactor_usable_full_lbd_coverage"": 0.982759, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 4}, {""instance_id"": ""1G5Y.C"", ""label_asym_id"": ""C"", ""auth_asym_id"": ""C"", ""observed_full_lbd_ca_coverage"": 0.974138, ""bfactor_usable_full_lbd_coverage"": 0.974138, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 6}, {""instance_id"": ""1G5Y.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""B"", ""observed_full_lbd_ca_coverage"": 0.982759, ""bfactor_usable_full_lbd_coverage"": 0.982759, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 4}, {""instance_id"": ""1G5Y.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.982759, ""bfactor_usable_full_lbd_coverage"": 0.982759, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 4}]",1G5Y.A,A,A,1,0.982759,0.982759,highest positive-occupancy full standardized-LBD Ca coverage,4 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1G5Y.A via: highest positive-occupancy full standardized-LBD Ca coverage.
P10275,NR3C4,AR,1GS4,1GS4_1,1,1,"[""1GS4.A""]","[{""instance_id"": ""1GS4.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.974138, ""bfactor_usable_full_lbd_coverage"": 0.974138, ""internal_missing_residue_count"": 4, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 4}]",1GS4.A,A,A,1,0.974138,0.974138,NO_TIE_SINGLE_INSTANCE,1 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1GS4.A via: NO_TIE_SINGLE_INSTANCE.
P03372,NR3A1,ERα,1GWQ,1GWQ_1,1,2,"[""1GWQ.A"", ""1GWQ.B""]","[{""instance_id"": ""1GWQ.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""B"", ""observed_full_lbd_ca_coverage"": 0.974684, ""bfactor_usable_full_lbd_coverage"": 0.974684, ""internal_missing_residue_count"": 6, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 6}, {""instance_id"": ""1GWQ.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.978903, ""bfactor_usable_full_lbd_coverage"": 0.978903, ""internal_missing_residue_count"": 5, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 5}]",1GWQ.A,A,A,1,0.978903,0.978903,highest positive-occupancy full standardized-LBD Ca coverage,2 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1GWQ.A via: highest positive-occupancy full standardized-LBD Ca coverage.
P03372,NR3A1,ERα,1GWR,1GWR_1,1,2,"[""1GWR.A"", ""1GWR.B""]","[{""instance_id"": ""1GWR.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""B"", ""observed_full_lbd_ca_coverage"": 0.978903, ""bfactor_usable_full_lbd_coverage"": 0.978903, ""internal_missing_residue_count"": 5, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 5}, {""instance_id"": ""1GWR.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.974684, ""bfactor_usable_full_lbd_coverage"": 0.974684, ""internal_missing_residue_count"": 6, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 6}]",1GWR.B,B,B,1,0.978903,0.978903,highest positive-occupancy full standardized-LBD Ca coverage,2 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1GWR.B via: highest positive-occupancy full standardized-LBD Ca coverage.
Q03181,NR1C2,PPARδ,1GWX,1GWX_1,1,2,"[""1GWX.A"", ""1GWX.B""]","[{""instance_id"": ""1GWX.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""B"", ""observed_full_lbd_ca_coverage"": 1.0, ""bfactor_usable_full_lbd_coverage"": 1.0, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 0}, {""instance_id"": ""1GWX.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 1.0, ""bfactor_usable_full_lbd_coverage"": 1.0, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 0}]",1GWX.A,A,A,1,1.0,1.0,lexicographically smallest label_asym_id,2 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1GWX.A via: lexicographically smallest label_asym_id.
P28702,NR2B2,RXRβ,1H9U,1H9U_1,1,4,"[""1H9U.A"", ""1H9U.B"", ""1H9U.C"", ""1H9U.D""]","[{""instance_id"": ""1H9U.D"", ""label_asym_id"": ""D"", ""auth_asym_id"": ""D"", ""observed_full_lbd_ca_coverage"": 0.858974, ""bfactor_usable_full_lbd_coverage"": 0.858974, ""internal_missing_residue_count"": 23, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 23}, {""instance_id"": ""1H9U.C"", ""label_asym_id"": ""C"", ""auth_asym_id"": ""C"", ""observed_full_lbd_ca_coverage"": 0.858974, ""bfactor_usable_full_lbd_coverage"": 0.858974, ""internal_missing_residue_count"": 23, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 23}, {""instance_id"": ""1H9U.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""B"", ""observed_full_lbd_ca_coverage"": 0.858974, ""bfactor_usable_full_lbd_coverage"": 0.858974, ""internal_missing_residue_count"": 23, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 23}, {""instance_id"": ""1H9U.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.858974, ""bfactor_usable_full_lbd_coverage"": 0.858974, ""internal_missing_residue_count"": 23, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 23}]",1H9U.A,A,A,1,0.858974,0.858974,lexicographically smallest label_asym_id,4 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1H9U.A via: lexicographically smallest label_asym_id.
