pdb_id,polymer_entity_id,entity_id,instance_id,label_asym_id,auth_asym_id,instance_metadata_status,instance_metadata_notes
1FM6,1FM6_2,2,1FM6.D,D,X,PASS,
1FM6,1FM6_2,2,1FM6.B,B,D,PASS,
1FM9,1FM9_1,1,1FM9.A,A,A,PASS,
1FM9,1FM9_2,2,1FM9.B,B,D,PASS,
1G1U,1G1U_1,1,1G1U.D,D,D,PASS,
1G1U,1G1U_1,1,1G1U.C,C,C,PASS,
1G1U,1G1U_1,1,1G1U.B,B,B,PASS,
1G1U,1G1U_1,1,1G1U.A,A,A,PASS,
1G50,1G50_1,1,1G50.C,C,C,PASS,
1G50,1G50_1,1,1G50.B,B,B,PASS,
1G50,1G50_1,1,1G50.A,A,A,PASS,
1G5Y,1G5Y_1,1,1G5Y.D,D,D,PASS,
1G5Y,1G5Y_1,1,1G5Y.C,C,C,PASS,
1G5Y,1G5Y_1,1,1G5Y.B,B,B,PASS,
1G5Y,1G5Y_1,1,1G5Y.A,A,A,PASS,
1GA5,1GA5_3,3,1GA5.E,E,A,PASS,
1GA5,1GA5_3,3,1GA5.F,F,B,PASS,
1GA5,1GA5_3,3,1GA5.G,G,E,PASS,
1GA5,1GA5_3,3,1GA5.H,H,F,PASS,
1GS4,1GS4_1,1,1GS4.A,A,A,PASS,
1GWQ,1GWQ_1,1,1GWQ.B,B,B,PASS,
1GWQ,1GWQ_1,1,1GWQ.A,A,A,PASS,
1GWR,1GWR_1,1,1GWR.B,B,B,PASS,
1GWR,1GWR_1,1,1GWR.A,A,A,PASS,
1GWX,1GWX_1,1,1GWX.B,B,B,PASS,
1GWX,1GWX_1,1,1GWX.A,A,A,PASS,
1H9U,1H9U_1,1,1H9U.D,D,D,PASS,
1H9U,1H9U_1,1,1H9U.C,C,C,PASS,
1H9U,1H9U_1,1,1H9U.B,B,B,PASS,
1H9U,1H9U_1,1,1H9U.A,A,A,PASS,
1HCP,1HCP_1,1,1HCP.A,A,A,PASS,
1HCQ,1HCQ_3,3,1HCQ.H,H,F,PASS,
1HCQ,1HCQ_3,3,1HCQ.G,G,E,PASS,
1HCQ,1HCQ_3,3,1HCQ.F,F,B,PASS,
1HCQ,1HCQ_3,3,1HCQ.E,E,A,PASS,
1HLZ,1HLZ_3,3,1HLZ.C,C,A,PASS,
1HLZ,1HLZ_3,3,1HLZ.D,D,B,PASS,
1HRA,1HRA_1,1,1HRA.A,A,A,PASS,
1I7G,1I7G_1,1,1I7G.A,A,A,PASS,
1I7I,1I7I_1,1,1I7I.B,B,B,PASS,
1I7I,1I7I_1,1,1I7I.A,A,A,PASS,
1IE8,1IE8_1,1,1IE8.A,A,A,PASS,
1IE9,1IE9_1,1,1IE9.A,A,A,PASS,
1ILG,1ILG_1,1,1ILG.A,A,A,PASS,
1ILH,1ILH_1,1,1ILH.A,A,A,PASS,
1K74,1K74_1,1,1K74.A,A,A,PASS,
1K74,1K74_2,2,1K74.B,B,D,PASS,
1K7L,1K7L_1,1,1K7L.G,G,G,PASS,
1K7L,1K7L_1,1,1K7L.E,E,E,PASS,
1K7L,1K7L_1,1,1K7L.C,C,C,PASS,
1K7L,1K7L_1,1,1K7L.A,A,A,PASS,
1KB2,1KB2_3,3,1KB2.D,D,B,PASS,
1KB2,1KB2_3,3,1KB2.C,C,A,PASS,
1KB4,1KB4_3,3,1KB4.D,D,B,PASS,
1KB4,1KB4_3,3,1KB4.C,C,A,PASS,
1KB6,1KB6_3,3,1KB6.D,D,B,PASS,
1KB6,1KB6_3,3,1KB6.C,C,A,PASS,
1KKQ,1KKQ_1,1,1KKQ.D,D,D,PASS,
1KKQ,1KKQ_1,1,1KKQ.C,C,C,PASS,
1KKQ,1KKQ_1,1,1KKQ.B,B,B,PASS,
1KKQ,1KKQ_1,1,1KKQ.A,A,A,PASS,
1KNU,1KNU_1,1,1KNU.A,A,A,PASS,
1KNU,1KNU_1,1,1KNU.B,B,B,PASS,
1KV6,1KV6_1,1,1KV6.B,B,B,PASS,
1KV6,1KV6_1,1,1KV6.A,A,A,PASS,
1L2I,1L2I_1,1,1L2I.B,B,B,PASS,
1L2I,1L2I_1,1,1L2I.A,A,A,PASS,
1L2J,1L2J_1,1,1L2J.B,B,B,PASS,
1L2J,1L2J_1,1,1L2J.A,A,A,PASS,
1LO1,1LO1_3,3,1LO1.C,C,A,PASS,
1LV2,1LV2_1,1,1LV2.A,A,A,PASS,
1M13,1M13_1,1,1M13.A,A,A,PASS,
1M2Z,1M2Z_1,1,1M2Z.C,C,D,PASS,
1M2Z,1M2Z_1,1,1M2Z.A,A,A,PASS,
1MV9,1MV9_1,1,1MV9.A,A,A,PASS,
1MVC,1MVC_1,1,1MVC.A,A,A,PASS,
1MZN,1MZN_1,1,1MZN.G,G,G,PASS,
1MZN,1MZN_1,1,1MZN.E,E,E,PASS,
1MZN,1MZN_1,1,1MZN.C,C,C,PASS,
1MZN,1MZN_1,1,1MZN.A,A,A,PASS,
1N46,1N46_1,1,1N46.B,B,B,PASS,
1N46,1N46_1,1,1N46.A,A,A,PASS,
1N83,1N83_1,1,1N83.A,A,A,PASS,
1NAV,1NAV_1,1,1NAV.A,A,A,PASS,
1NAX,1NAX_1,1,1NAX.A,A,A,PASS,
1NDE,1NDE_1,1,1NDE.A,A,A,PASS,
1NHZ,1NHZ_1,1,1NHZ.A,A,A,PASS,
1NQ0,1NQ0_1,1,1NQ0.A,A,A,PASS,
1NQ1,1NQ1_1,1,1NQ1.A,A,A,PASS,
1NQ2,1NQ2_1,1,1NQ2.A,A,A,PASS,
1NRL,1NRL_1,1,1NRL.B,B,B,PASS,
1NRL,1NRL_1,1,1NRL.A,A,A,PASS,
1NUO,1NUO_1,1,1NUO.A,A,A,PASS,
1NYX,1NYX_1,1,1NYX.B,B,B,PASS,
1NYX,1NYX_1,1,1NYX.A,A,A,PASS,
1OSH,1OSH_1,1,1OSH.A,A,A,PASS,
1OVL,1OVL_1,1,1OVL.D,D,D,PASS,
1OVL,1OVL_1,1,1OVL.A,A,A,PASS,
1OVL,1OVL_2,2,1OVL.F,F,F,PASS,
1OVL,1OVL_2,2,1OVL.E,E,E,PASS,
1OVL,1OVL_2,2,1OVL.C,C,C,PASS,
1OVL,1OVL_2,2,1OVL.B,B,B,PASS,
1P8D,1P8D_1,1,1P8D.B,B,B,PASS,
1P8D,1P8D_1,1,1P8D.A,A,A,PASS,
1P93,1P93_1,1,1P93.G,G,D,PASS,
1P93,1P93_1,1,1P93.E,E,C,PASS,
1P93,1P93_1,1,1P93.C,C,B,PASS,
1P93,1P93_1,1,1P93.A,A,A,PASS,
1PCG,1PCG_1,1,1PCG.B,B,B,PASS,
1PCG,1PCG_1,1,1PCG.A,A,A,PASS,
1PQ6,1PQ6_1,1,1PQ6.D,D,D,PASS,
1PQ6,1PQ6_1,1,1PQ6.C,C,C,PASS,
1PQ6,1PQ6_1,1,1PQ6.B,B,B,PASS,
1PQ6,1PQ6_1,1,1PQ6.A,A,A,PASS,
1PQ9,1PQ9_1,1,1PQ9.D,D,D,PASS,
1PQ9,1PQ9_1,1,1PQ9.C,C,C,PASS,
1PQ9,1PQ9_1,1,1PQ9.B,B,B,PASS,
1PQ9,1PQ9_1,1,1PQ9.A,A,A,PASS,
1PQC,1PQC_1,1,1PQC.D,D,D,PASS,
1PQC,1PQC_1,1,1PQC.C,C,C,PASS,
1PQC,1PQC_1,1,1PQC.B,B,B,PASS,
1PQC,1PQC_1,1,1PQC.A,A,A,PASS,
1PRG,1PRG_1,1,1PRG.B,B,B,PASS,
1PRG,1PRG_1,1,1PRG.A,A,A,PASS,
1PZL,1PZL_1,1,1PZL.A,A,A,PASS,
1Q4X,1Q4X_1,1,1Q4X.A,A,A,PASS,
1QKM,1QKM_1,1,1QKM.A,A,A,PASS,
1QKT,1QKT_1,1,1QKT.A,A,A,PASS,
1QKU,1QKU_1,1,1QKU.C,C,C,PASS,
1QKU,1QKU_1,1,1QKU.B,B,B,PASS,
1QKU,1QKU_1,1,1QKU.A,A,A,PASS,
1R0N,1R0N_3,3,1R0N.C,C,A,PASS,
1R5K,1R5K_1,1,1R5K.C,C,C,PASS,
1R5K,1R5K_1,1,1R5K.B,B,B,PASS,
1R5K,1R5K_1,1,1R5K.A,A,A,PASS,
1R6G,1R6G_1,1,1R6G.A,A,A,PASS,
1RDT,1RDT_1,1,1RDT.A,A,A,PASS,
1RDT,1RDT_3,3,1RDT.C,C,D,PASS,
1RXR,1RXR_1,1,1RXR.A,A,A,PASS,
1S0X,1S0X_1,1,1S0X.A,A,A,PASS,
1S0Z,1S0Z_1,1,1S0Z.A,A,A,PASS,
1S19,1S19_1,1,1S19.A,A,A,PASS,
1SJ0,1SJ0_1,1,1SJ0.A,A,A,PASS,
1SKX,1SKX_1,1,1SKX.A,A,A,PASS,
1SQN,1SQN_1,1,1SQN.B,B,B,PASS,
1SQN,1SQN_1,1,1SQN.A,A,A,PASS,
1SR7,1SR7_1,1,1SR7.B,B,B,PASS,
1SR7,1SR7_1,1,1SR7.A,A,A,PASS,
1T5Z,1T5Z_1,1,1T5Z.A,A,A,PASS,
1T63,1T63_1,1,1T63.A,A,A,PASS,
1T65,1T65_1,1,1T65.A,A,A,PASS,
1TFC,1TFC_1,1,1TFC.B,B,B,PASS,
1TFC,1TFC_1,1,1TFC.A,A,A,PASS,
1TXI,1TXI_1,1,1TXI.A,A,A,PASS,
1U3Q,1U3Q_1,1,1U3Q.D,D,D,PASS,
1U3Q,1U3Q_1,1,1U3Q.C,C,C,PASS,
1U3Q,1U3Q_1,1,1U3Q.B,B,B,PASS,
1U3Q,1U3Q_1,1,1U3Q.A,A,A,PASS,
1U3R,1U3R_1,1,1U3R.C,C,B,PASS,
1U3R,1U3R_1,1,1U3R.A,A,A,PASS,
1U3S,1U3S_1,1,1U3S.C,C,B,PASS,
1U3S,1U3S_1,1,1U3S.A,A,A,PASS,
1U9E,1U9E_1,1,1U9E.B,B,B,PASS,
1U9E,1U9E_1,1,1U9E.A,A,A,PASS,
1UHL,1UHL_1,1,1UHL.A,A,A,PASS,
1UHL,1UHL_2,2,1UHL.B,B,B,PASS,
1UOM,1UOM_1,1,1UOM.A,A,A,PASS,
1UPV,1UPV_1,1,1UPV.A,A,A,PASS,
1UPW,1UPW_1,1,1UPW.A,A,A,PASS,
1VJB,1VJB_1,1,1VJB.B,B,B,PASS,
1VJB,1VJB_1,1,1VJB.A,A,A,PASS,
1WM0,1WM0_1,1,1WM0.A,A,X,PASS,
1X76,1X76_1,1,1X76.B,B,B,PASS,
1X76,1X76_1,1,1X76.A,A,A,PASS,
1X78,1X78_1,1,1X78.B,B,B,PASS,
1X78,1X78_1,1,1X78.A,A,A,PASS,
1X7B,1X7B_1,1,1X7B.B,B,B,PASS,
1X7B,1X7B_1,1,1X7B.A,A,A,PASS,
1X7E,1X7E_1,1,1X7E.B,B,B,PASS,
1X7E,1X7E_1,1,1X7E.A,A,A,PASS,
1X7J,1X7J_1,1,1X7J.B,B,B,PASS,
1X7J,1X7J_1,1,1X7J.A,A,A,PASS,
1X7R,1X7R_1,1,1X7R.A,A,A,PASS,
1XAP,1XAP_1,1,1XAP.A,A,A,PASS,
1XB7,1XB7_1,1,1XB7.A,A,A,PASS,
1XJ7,1XJ7_1,1,1XJ7.A,A,A,PASS,
1XLS,1XLS_1,1,1XLS.D,D,D,PASS,
1XLS,1XLS_1,1,1XLS.C,C,C,PASS,
1XLS,1XLS_1,1,1XLS.B,B,B,PASS,
1XLS,1XLS_1,1,1XLS.A,A,A,PASS,
1XOW,1XOW_1,1,1XOW.A,A,A,PASS,
1XOW,1XOW_2,2,1XOW.B,B,B,PASS,
1XP1,1XP1_1,1,1XP1.A,A,A,PASS,
1XP6,1XP6_1,1,1XP6.A,A,A,PASS,
1XP9,1XP9_1,1,1XP9.A,A,A,PASS,
1XPC,1XPC_1,1,1XPC.A,A,A,PASS,
1XQ3,1XQ3_1,1,1XQ3.A,A,A,PASS,
1XQC,1XQC_1,1,1XQC.D,D,D,PASS,
1XQC,1XQC_1,1,1XQC.C,C,C,PASS,
1XQC,1XQC_1,1,1XQC.B,B,B,PASS,
1XQC,1XQC_1,1,1XQC.A,A,A,PASS,
1XV9,1XV9_1,1,1XV9.C,C,C,PASS,
1XV9,1XV9_1,1,1XV9.A,A,A,PASS,
1XV9,1XV9_2,2,1XV9.D,D,D,PASS,
1XV9,1XV9_2,2,1XV9.B,B,B,PASS,
1XVP,1XVP_1,1,1XVP.C,C,C,PASS,
1XVP,1XVP_1,1,1XVP.A,A,A,PASS,
1XVP,1XVP_2,2,1XVP.D,D,D,PASS,
1XVP,1XVP_2,2,1XVP.B,B,B,PASS,
1XZX,1XZX_1,1,1XZX.A,A,X,PASS,
1Y0S,1Y0S_1,1,1Y0S.B,B,B,PASS,
1Y0S,1Y0S_1,1,1Y0S.A,A,A,PASS,
1Y0X,1Y0X_1,1,1Y0X.A,A,X,PASS,
1Y9R,1Y9R_1,1,1Y9R.B,B,B,PASS,
1Y9R,1Y9R_1,1,1Y9R.A,A,A,PASS,
1YA3,1YA3_1,1,1YA3.C,C,C,PASS,
1YA3,1YA3_1,1,1YA3.B,B,B,PASS,
1YA3,1YA3_1,1,1YA3.A,A,A,PASS,
1YIM,1YIM_1,1,1YIM.A,A,A,PASS,
1YIN,1YIN_1,1,1YIN.A,A,A,PASS,
1YNW,1YNW_3,3,1YNW.C,C,A,PASS,
1YNW,1YNW_4,4,1YNW.D,D,B,PASS,
1YOK,1YOK_1,1,1YOK.A,A,A,PASS,
1YOW,1YOW_1,1,1YOW.A,A,A,PASS,
1YUC,1YUC_1,1,1YUC.B,B,B,PASS,
1YUC,1YUC_1,1,1YUC.A,A,A,PASS,
1YUC,1YUC_2,2,1YUC.D,D,D,PASS,
1YUC,1YUC_2,2,1YUC.C,C,C,PASS,
1YY4,1YY4_1,1,1YY4.B,B,B,PASS,
1YY4,1YY4_1,1,1YY4.A,A,A,PASS,
1YYE,1YYE_1,1,1YYE.A,A,A,PASS,
1YYE,1YYE_1,1,1YYE.B,B,B,PASS,
1Z95,1Z95_1,1,1Z95.A,A,A,PASS,
1ZAF,1ZAF_1,1,1ZAF.B,B,B,PASS,
1ZAF,1ZAF_1,1,1ZAF.A,A,A,PASS,
1ZDT,1ZDT_1,1,1ZDT.B,B,B,PASS,
1ZDT,1ZDT_1,1,1ZDT.A,A,A,PASS,
1ZDU,1ZDU_1,1,1ZDU.A,A,A,PASS,
1ZEO,1ZEO_1,1,1ZEO.B,B,B,PASS,
1ZEO,1ZEO_1,1,1ZEO.A,A,A,PASS,
1ZGY,1ZGY_1,1,1ZGY.A,A,A,PASS,
1ZKY,1ZKY_1,1,1ZKY.B,B,B,PASS,
1ZKY,1ZKY_1,1,1ZKY.A,A,A,PASS,
1ZUC,1ZUC_1,1,1ZUC.B,B,A,PASS,
1ZUC,1ZUC_1,1,1ZUC.A,A,B,PASS,
29OB,29OB_1,1,29OB.A,A,A,PASS,
2A3I,2A3I_1,1,2A3I.A,A,A,PASS,
2A66,2A66_3,3,2A66.C,C,A,PASS,
2AA2,2AA2_1,1,2AA2.A,A,A,PASS,
2AA5,2AA5_1,1,2AA5.B,B,B,PASS,
2AA5,2AA5_1,1,2AA5.A,A,A,PASS,
2AA6,2AA6_1,1,2AA6.A,A,A,PASS,
2AA6,2AA6_1,1,2AA6.B,B,B,PASS,
2AA7,2AA7_1,1,2AA7.A,A,A,PASS,
2AAX,2AAX_1,1,2AAX.B,B,B,PASS,
2AAX,2AAX_1,1,2AAX.A,A,A,PASS,
2AB2,2AB2_1,1,2AB2.A,A,A,PASS,
2AB2,2AB2_1,1,2AB2.B,B,B,PASS,
2ABI,2ABI_1,1,2ABI.C,C,C,PASS,
2ABI,2ABI_1,1,2ABI.B,B,B,PASS,
2ABI,2ABI_1,1,2ABI.A,A,A,PASS,
2ACL,2ACL_1,1,2ACL.G,G,G,PASS,
2ACL,2ACL_1,1,2ACL.E,E,E,PASS,
2ACL,2ACL_1,1,2ACL.C,C,C,PASS,
2ACL,2ACL_1,1,2ACL.A,A,A,PASS,
2AM9,2AM9_1,1,2AM9.A,A,A,PASS,
2AMA,2AMA_1,1,2AMA.A,A,A,PASS,
2AMB,2AMB_1,1,2AMB.A,A,A,PASS,
2AO6,2AO6_1,1,2AO6.A,A,A,PASS,
2ATH,2ATH_1,1,2ATH.B,B,B,PASS,
2ATH,2ATH_1,1,2ATH.A,A,A,PASS,
2AWH,2AWH_1,1,2AWH.B,B,B,PASS,
2AWH,2AWH_1,1,2AWH.A,A,A,PASS,
2AX6,2AX6_1,1,2AX6.A,A,A,PASS,
2AX7,2AX7_1,1,2AX7.A,A,A,PASS,
2AX8,2AX8_1,1,2AX8.A,A,A,PASS,
2AX9,2AX9_1,1,2AX9.A,A,A,PASS,
2AXA,2AXA_1,1,2AXA.A,A,A,PASS,
2AYR,2AYR_1,1,2AYR.A,A,A,PASS,
2B1V,2B1V_1,1,2B1V.B,B,B,PASS,
2B1V,2B1V_1,1,2B1V.A,A,A,PASS,
2B1Z,2B1Z_1,1,2B1Z.B,B,B,PASS,
2B1Z,2B1Z_1,1,2B1Z.A,A,A,PASS,
2B23,2B23_1,1,2B23.B,B,B,PASS,
2B23,2B23_1,1,2B23.A,A,A,PASS,
2B50,2B50_1,1,2B50.B,B,B,PASS,
2B50,2B50_1,1,2B50.A,A,A,PASS,
2BAW,2BAW_1,1,2BAW.B,B,B,PASS,
2BAW,2BAW_1,1,2BAW.A,A,A,PASS,
2BJ4,2BJ4_1,1,2BJ4.A,A,A,PASS,
2BJ4,2BJ4_2,2,2BJ4.B,B,B,PASS,
2C7A,2C7A_1,1,2C7A.B,B,B,PASS,
2C7A,2C7A_1,1,2C7A.A,A,A,PASS,
2E2R,2E2R_1,1,2E2R.A,A,A,PASS,
2EBL,2EBL_1,1,2EBL.A,A,A,PASS,
2ENV,2ENV_1,1,2ENV.A,A,A,PASS,
2EWP,2EWP_1,1,2EWP.E,E,E,PASS,
2EWP,2EWP_1,1,2EWP.D,D,D,PASS,
2EWP,2EWP_1,1,2EWP.C,C,C,PASS,
2EWP,2EWP_1,1,2EWP.B,B,B,PASS,
2EWP,2EWP_1,1,2EWP.A,A,A,PASS,
2F4B,2F4B_1,1,2F4B.B,B,B,PASS,
2F4B,2F4B_1,1,2F4B.A,A,A,PASS,
2FAI,2FAI_1,1,2FAI.B,B,B,PASS,
2FAI,2FAI_1,1,2FAI.A,A,A,PASS,
2FSZ,2FSZ_1,1,2FSZ.B,B,B,PASS,
2FSZ,2FSZ_1,1,2FSZ.A,A,A,PASS,
2FVJ,2FVJ_1,1,2FVJ.A,A,A,PASS,
2G0G,2G0G_1,1,2G0G.B,B,B,PASS,
2G0G,2G0G_1,1,2G0G.A,A,A,PASS,
2G0H,2G0H_1,1,2G0H.B,B,B,PASS,
2G0H,2G0H_1,1,2G0H.A,A,A,PASS,
2G44,2G44_1,1,2G44.B,B,B,PASS,
2G44,2G44_1,1,2G44.A,A,A,PASS,
2G5O,2G5O_1,1,2G5O.B,B,B,PASS,
2G5O,2G5O_1,1,2G5O.A,A,A,PASS,
2GIU,2GIU_1,1,2GIU.A,A,A,PASS,
2GL8,2GL8_1,1,2GL8.C,C,C,PASS,
2GL8,2GL8_1,1,2GL8.D,D,D,PASS,
2GL8,2GL8_1,1,2GL8.B,B,B,PASS,
2GL8,2GL8_1,1,2GL8.A,A,A,PASS,
2GP7,2GP7_1,1,2GP7.D,D,D,PASS,
2GP7,2GP7_1,1,2GP7.C,C,C,PASS,
2GP7,2GP7_1,1,2GP7.B,B,B,PASS,
2GP7,2GP7_1,1,2GP7.A,A,A,PASS,
2GPO,2GPO_1,1,2GPO.A,A,A,PASS,
2GPP,2GPP_1,1,2GPP.B,B,B,PASS,
2GPP,2GPP_1,1,2GPP.A,A,A,PASS,
2GPU,2GPU_1,1,2GPU.A,A,A,PASS,
2GPV,2GPV_1,1,2GPV.F,F,F,PASS,
2GPV,2GPV_1,1,2GPV.E,E,E,PASS,
2GPV,2GPV_1,1,2GPV.D,D,D,PASS,
2GPV,2GPV_1,1,2GPV.C,C,C,PASS,
2GPV,2GPV_1,1,2GPV.B,B,B,PASS,
2GPV,2GPV_1,1,2GPV.A,A,A,PASS,
2GTK,2GTK_1,1,2GTK.A,A,A,PASS,
2GWX,2GWX_1,1,2GWX.B,B,B,PASS,
2GWX,2GWX_1,1,2GWX.A,A,A,PASS,
2H77,2H77_1,1,2H77.A,A,A,PASS,
2H79,2H79_1,1,2H79.A,A,A,PASS,
2HAM,2HAM_1,1,2HAM.A,A,A,PASS,
2HAR,2HAR_1,1,2HAR.A,A,A,PASS,
2HAS,2HAS_1,1,2HAS.A,A,A,PASS,
2HB7,2HB7_1,1,2HB7.A,A,A,PASS,
2HB8,2HB8_1,1,2HB8.A,A,A,PASS,
2HFP,2HFP_1,1,2HFP.A,A,A,PASS,
2HVC,2HVC_1,1,2HVC.A,A,A,PASS,
2HWQ,2HWQ_1,1,2HWQ.B,B,B,PASS,
2HWQ,2HWQ_1,1,2HWQ.A,A,A,PASS,
2HWR,2HWR_1,1,2HWR.B,B,B,PASS,
2HWR,2HWR_1,1,2HWR.A,A,A,PASS,
2I0G,2I0G_1,1,2I0G.B,B,B,PASS,
2I0G,2I0G_1,1,2I0G.A,A,A,PASS,
2I0J,2I0J_1,1,2I0J.D,D,D,PASS,
2I0J,2I0J_1,1,2I0J.C,C,C,PASS,
2I0J,2I0J_1,1,2I0J.B,B,B,PASS,
2I0J,2I0J_1,1,2I0J.A,A,A,PASS,
2I4J,2I4J_1,1,2I4J.B,B,B,PASS,
2I4J,2I4J_1,1,2I4J.A,A,A,PASS,
2I4P,2I4P_1,1,2I4P.B,B,B,PASS,
2I4P,2I4P_1,1,2I4P.A,A,A,PASS,
2I4Z,2I4Z_1,1,2I4Z.B,B,B,PASS,
2I4Z,2I4Z_1,1,2I4Z.A,A,A,PASS,
2IOG,2IOG_1,1,2IOG.A,A,A,PASS,
2IOK,2IOK_1,1,2IOK.B,B,B,PASS,
2IOK,2IOK_1,1,2IOK.A,A,A,PASS,
2J14,2J14_1,1,2J14.B,B,B,PASS,
2J14,2J14_1,1,2J14.A,A,A,PASS,
2J4A,2J4A_1,1,2J4A.A,A,A,PASS,
2JF9,2JF9_1,1,2JF9.C,C,C,PASS,
2JF9,2JF9_1,1,2JF9.B,B,B,PASS,
2JF9,2JF9_1,1,2JF9.A,A,A,PASS,
2JFA,2JFA_1,1,2JFA.A,A,A,PASS,
2JFA,2JFA_2,2,2JFA.B,B,B,PASS,
2JJ3,2JJ3_1,1,2JJ3.B,B,B,PASS,
2JJ3,2JJ3_1,1,2JJ3.A,A,A,PASS,
2LBD,2LBD_1,1,2LBD.A,A,A,PASS,
2LLO,2LLO_2,2,2LLO.B,B,B,PASS,
2LLQ,2LLQ_2,2,2LLQ.B,B,B,PASS,
2NLL,2NLL_3,3,2NLL.C,C,A,PASS,
2NLL,2NLL_4,4,2NLL.D,D,B,PASS,
2NPA,2NPA_1,1,2NPA.C,C,C,PASS,
2NPA,2NPA_1,1,2NPA.A,A,A,PASS,
2NV7,2NV7_1,1,2NV7.B,B,B,PASS,
2NV7,2NV7_1,1,2NV7.A,A,A,PASS,
2O9I,2O9I_1,1,2O9I.B,B,B,PASS,
2O9I,2O9I_1,1,2O9I.A,A,A,PASS,
2OAX,2OAX_1,1,2OAX.C,C,C,PASS,
2OAX,2OAX_1,1,2OAX.F,F,F,PASS,
2OAX,2OAX_1,1,2OAX.E,E,E,PASS,
2OAX,2OAX_1,1,2OAX.D,D,D,PASS,
2OAX,2OAX_1,1,2OAX.B,B,B,PASS,
2OAX,2OAX_1,1,2OAX.A,A,A,PASS,
2OCF,2OCF_1,1,2OCF.A,A,A,PASS,
2OM9,2OM9_1,1,2OM9.D,D,D,PASS,
2OM9,2OM9_1,1,2OM9.C,C,C,PASS,
2OM9,2OM9_1,1,2OM9.B,B,B,PASS,
2OM9,2OM9_1,1,2OM9.A,A,A,PASS,
2OUZ,2OUZ_1,1,2OUZ.A,A,A,PASS,
2OVH,2OVH_1,1,2OVH.A,A,A,PASS,
2OVM,2OVM_1,1,2OVM.A,A,A,PASS,
2OZ7,2OZ7_1,1,2OZ7.A,A,A,PASS,
2P15,2P15_1,1,2P15.B,B,B,PASS,
2P15,2P15_1,1,2P15.A,A,A,PASS,
2P1T,2P1T_1,1,2P1T.A,A,A,PASS,
2P1U,2P1U_1,1,2P1U.A,A,A,PASS,
