record_index,uniprot_id,nr_code,common_name,group,sequence_length,lbd_start,lbd_end,lbd_length,lbd_definition,lbd_coordinate_system,lbd_source,lbd_source_identifier,lbd_feature_type,lbd_feature_description,lbd_feature_evidence,uniprot_entry_version,uniprot_sequence_version,lbd_status,lbd_notes,dbd_start,dbd_end,dbd_source,dbd_status
10,P10828,NR1A2,TRβ,Steroid hormone receptors,461,217,461,245,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,267,2,PASS,,107,181,UniProt,PASS
11,P11473,NR1I1,VDR,Steroid hormone receptors,427,127,423,297,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,267,1,PASS,,21,96,UniProt,PASS
12,Q14994,NR1I3,CAR,Nutritional sensors,352,109,352,244,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,228,2,PASS,,8,83,UniProt,PASS
13,P11474,NR3B1,ERRα,Nutritional sensors,423,193,421,229,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,249,3,PASS,,76,151,UniProt,PASS
14,O95718,NR3B2,ERRβ,Nutritional sensors,433,208,432,225,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,228,3,PASS,,100,186,UniProt,PASS
15,P62508,NR3B3,ERRγ,Nutritional sensors,458,233,457,225,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,211,1,PASS,,125,200,UniProt,PASS
16,Q96RI1,NR1H4,FXR,Nutritional sensors,486,262,486,225,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,230,2,PASS,,134,209,UniProt,PASS
17,P41235,NR2A1,HNF4α,Nutritional sensors,474,147,377,231,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,260,3,PASS,,57,132,UniProt,PASS
18,Q14541,NR2A2,HNF4γ,Nutritional sensors,408,99,328,230,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,229,3,PASS,,9,84,UniProt,PASS
19,O00482,NR5A2,LRH-1,Nutritional sensors,541,300,539,240,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,230,2,PASS,,83,154,UniProt,PASS
20,Q13133,NR1H3,LXRα,Nutritional sensors,447,209,447,239,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,238,2,PASS,,95,170,UniProt,PASS
21,P55055,NR1H2,LXRβ,Nutritional sensors,460,222,460,239,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,241,2,PASS,,84,161,UniProt,PASS
22,P22736,NR4A1,NUR77,Nutritional sensors,598,360,595,236,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,245,1,PASS,,264,339,UniProt,PASS
23,P43354,NR4A2,NURR1,Nutritional sensors,598,360,595,236,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,239,1,PASS,,260,335,UniProt,PASS
24,Q07869,NR1C1,PPARα,Nutritional sensors,468,239,466,228,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,261,2,PASS,,99,173,UniProt,PASS
25,Q03181,NR1C2,PPARδ,Nutritional sensors,441,211,439,229,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,262,1,PASS,,71,145,UniProt,PASS
26,P37231,NR1C3,PPARγ,Nutritional sensors,505,238,503,266,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,292,3,PASS,,136,210,UniProt,PASS
27,O75469,NR1I2,PXR,Nutritional sensors,434,146,433,288,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,244,1,PASS,,38,107,UniProt,PASS
28,P20393,NR1D1,Rev-erbα,Nutritional sensors,614,284,614,331,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,247,1,PASS,,129,205,UniProt,PASS
29,Q14995,NR1D2,Rev-erbβ,Nutritional sensors,579,369,579,211,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,215,4,PASS,,100,176,UniProt,PASS
30,P35398,NR1F1,RORα,Nutritional sensors,523,272,510,239,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,235,2,PASS,,73,138,UniProt,PASS
31,Q92753,NR1F2,RORβ,Nutritional sensors,470,222,460,239,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,208,3,PASS,,18,93,UniProt,PASS
32,P51449,NR1F3,RORγ,Nutritional sensors,518,269,508,240,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,223,2,PASS,,31,96,UniProt,PASS
33,P19793,NR2B1,RXRα,Nutritional sensors,462,227,458,232,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,263,1,PASS,,135,200,UniProt,PASS
34,P28702,NR2B2,RXRβ,Nutritional sensors,533,296,529,234,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189; PubMed:11782480,Domain,NR LBD,PROSITE-ProRule:PRU01189; PubMed:11782480,251,2,PASS,,205,270,UniProt,PASS
35,P48443,NR2B3,RXRγ,Nutritional sensors,463,231,459,229,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,228,1,PASS,,136,211,UniProt,PASS
36,Q13285,NR5A1,SF-1,Nutritional sensors,461,222,459,238,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,250,2,PASS,,10,85,UniProt,PASS
37,P13056,NR2C1,TR2,Nutritional sensors,603,348,590,243,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,225,2,PASS,,110,185,UniProt,PASS
38,P49116,NR2C2,TR4,Nutritional sensors,596,341,583,243,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,220,1,PASS,,114,189,UniProt,PASS
39,P10589,NR2F1,COUP-TFI,Orphan receptors,423,184,410,227,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,235,1,PASS,,83,158,UniProt,PASS
40,P24468,NR2F2,COUP-TFII,Orphan receptors,414,177,403,227,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,228,1,PASS,,76,151,UniProt,PASS
41,P51843,NR0B1,DAX-1,Orphan receptors,470,205,469,265,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,229,2,PASS,,,,,NOT_FOUND
42,P10588,NR2F6,EAR-2,Orphan receptors,404,165,393,229,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,234,2,PASS,,53,128,UniProt,PASS
43,Q15406,NR6A1,GCNF,Orphan receptors,480,249,480,232,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,219,2,PASS,,57,132,UniProt,PASS
44,Q92570,NR4A3,NOR-1,Orphan receptors,626,394,623,230,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,226,3,PASS,,289,364,UniProt,PASS
45,Q9Y5X4,NR2E3,PNR,Orphan receptors,410,169,410,242,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,220,1,PASS,,44,120,UniProt,PASS
46,Q15466,NR0B2,SHP,Orphan receptors,257,16,257,242,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,214,2,PASS,,,,,NOT_FOUND
47,Q9Y466,NR2E1,TLX,Orphan receptors,385,155,383,229,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,212,1,PASS,,13,90,UniProt,PASS
