uniprot_id,nr_code,common_name,pdb_id,polymer_entity_id,mapped_length,reference_coverage,mapping_overlaps_lbd,lbd_mapping_coverage,mapping_overlaps_dbd,dbd_mapping_coverage,lbd_mapping_category,entity_description
P03372,NR3A1,ERα,8AR5,8AR5_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8ARG,8ARG_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8ARO,8ARO_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,9I73,9I73_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,9I72,9I72_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,9I71,9I71_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,9I70,9I70_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,9I6T,9I6T_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,9I6Y,9I6Y_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,9I6X,9I6X_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,9I6W,9I6W_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,9I6V,9I6V_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,9I6U,9I6U_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8BZW,8BZW_2,6,0.010084,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,7BAA,7BAA_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,7BA9,7BA9_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,7B9T,7B9T_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,6HMU,6HMU_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,7NIZ,7NIZ_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8C42,8C42_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,7PWT,7PWT_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,C-terminus of Estrogen receptor alpha
P03372,NR3A1,ERα,7B9R,7B9R_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,7BAB,7BAB_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,7BA3,7BA3_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,7PWZ,7PWZ_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,C-terminus of Estrogen receptor alpha
P03372,NR3A1,ERα,6HKF,6HKF_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,7BA5,7BA5_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,7B9M,7B9M_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,7BA6,7BA6_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,7NFW,7NFW_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,6TJM,6TJM_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,C-terminal phosphopeptide of human estrogen receptor alpha
P03372,NR3A1,ERα,6TL3,6TL3_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,7BA8,7BA8_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P62508,NR3B3,ERRγ,6Y58,6Y58_2,8,0.017467,True,0.035556,False,0.0,TRACE_LBD,Estrogen Related Receptor gamma phosphopeptide
P03372,NR3A1,ERα,6HHP,6HHP_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,6HKB,6HKB_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,7BA7,7BA7_2,8,0.013445,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P62508,NR3B3,ERRγ,8BJN,8BJN_2,9,0.019651,False,0.0,True,0.118421,NO_LBD_OVERLAP,Estrogen-related receptor gamma
P62508,NR3B3,ERRγ,8BJG,8BJG_2,9,0.019651,False,0.0,True,0.118421,NO_LBD_OVERLAP,Estrogen-related receptor gamma
P62508,NR3B3,ERRγ,8B4Q,8B4Q_2,9,0.019651,False,0.0,True,0.118421,NO_LBD_OVERLAP,Estrogen-related receptor gamma
P62508,NR3B3,ERRγ,6XXC,6XXC_2,9,0.019651,False,0.0,True,0.118421,NO_LBD_OVERLAP,Estrogen Related Receptor gamma phosphopeptide
P62508,NR3B3,ERRγ,6XY5,6XY5_2,9,0.019651,False,0.0,True,0.118421,NO_LBD_OVERLAP,Estrogen Related Receptor gamma phosphopeptide
P62508,NR3B3,ERRγ,6Y18,6Y18_2,9,0.019651,False,0.0,True,0.118421,NO_LBD_OVERLAP,Estrogen Related Receptor gamma phosphopeptide
P62508,NR3B3,ERRγ,6Y1D,6Y1D_2,9,0.019651,False,0.0,True,0.118421,NO_LBD_OVERLAP,Estrogen related receptor gamma phosphopeptide
P62508,NR3B3,ERRγ,6Y3W,6Y3W_2,9,0.019651,False,0.0,True,0.118421,NO_LBD_OVERLAP,Estrogen Related Receptor gamma phosphopetide
P62508,NR3B3,ERRγ,8BM5,8BM5_2,9,0.019651,False,0.0,True,0.118421,NO_LBD_OVERLAP,Estrogen-related receptor gamma
Q15466,NR0B2,SHP,2Z4J,2Z4J_2,10,0.038911,True,0.041322,,,TRACE_LBD,Nuclear receptor 0B2
P03372,NR3A1,ERα,3CBP,3CBP_2,10,0.016807,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,3CBO,3CBO_2,10,0.016807,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,3CBM,3CBM_2,10,0.016807,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P10275,NR3C4,AR,5CJ6,5CJ6_2,10,0.01087,False,0.0,False,0.0,NO_LBD_OVERLAP,small peptide
Q15466,NR0B2,SHP,2Q3Y,2Q3Y_2,10,0.038911,True,0.041322,,,TRACE_LBD,Nuclear receptor 0B2
Q15466,NR0B2,SHP,5UFS,5UFS_2,10,0.038911,True,0.041322,,,TRACE_LBD,SHP NR Box 1 Peptide
Q15466,NR0B2,SHP,7YXC,7YXC_2,11,0.042802,True,0.045455,,,TRACE_LBD,SHP NR Box 1 Peptide
Q15466,NR0B2,SHP,7YXN,7YXN_2,11,0.042802,True,0.045455,,,TRACE_LBD,SHP NR Box 1 Peptide
Q15466,NR0B2,SHP,7YXO,7YXO_2,11,0.042802,True,0.045455,,,TRACE_LBD,SHP NR Box 1 Peptide
P10275,NR3C4,AR,1XOW,1XOW_2,11,0.011957,False,0.0,False,0.0,NO_LBD_OVERLAP,decamer fragment of androgen receptor
P10275,NR3C4,AR,3V49,3V49_2,11,0.011957,False,0.0,False,0.0,NO_LBD_OVERLAP,"Androgen receptor, activator peptide"
P10275,NR3C4,AR,2Q7K,2Q7K_2,11,0.011957,False,0.0,False,0.0,NO_LBD_OVERLAP,Androgen receptor
P10275,NR3C4,AR,3V4A,3V4A_2,11,0.011957,False,0.0,False,0.0,NO_LBD_OVERLAP,Androgen receptor
P03372,NR3A1,ERα,4O6F,4O6F_2,11,0.018487,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,4JDD,4JDD_2,11,0.018487,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor Peptide
P10275,NR3C4,AR,2Q7I,2Q7I_2,11,0.011957,False,0.0,False,0.0,NO_LBD_OVERLAP,Androgen receptor
P03372,NR3A1,ERα,4JC3,4JC3_2,11,0.018487,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor Peptide
Q15466,NR0B2,SHP,6W9M,6W9M_2,11,0.042802,True,0.045455,,,TRACE_LBD,Nuclear receptor subfamily 0 group B member 2
P03372,NR3A1,ERα,5N10,5N10_1,12,0.020168,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
Q15466,NR0B2,SHP,7YXR,7YXR_2,12,0.046693,True,0.049587,,,TRACE_LBD,SHP NR Box 1 Peptide
Q15466,NR0B2,SHP,7YXD,7YXD_2,12,0.046693,True,0.049587,,,TRACE_LBD,SHP NR Box 1 Peptide
P51449,NR1F3,RORγ,4WQP,4WQP_2,13,0.025097,True,0.054167,False,0.0,TRACE_LBD,VAL-GLU-ARG-LEU-GLN-ILE-PHE-GLN-HIS-LEU-HIS-PRO-ILE
P51449,NR1F3,RORγ,5APK,5APK_2,13,0.025097,True,0.054167,False,0.0,TRACE_LBD,NUCLEAR RECEPTOR ROR-GAMMA
P04150,NR3C1,GR,6YO8,6YO8_2,13,0.016731,True,0.029787,False,0.0,TRACE_LBD,Glucocorticoid receptor
P04150,NR3C1,GR,6YMO,6YMO_2,13,0.016731,True,0.055319,False,0.0,TRACE_LBD,Glucocorticoid receptor
P04150,NR3C1,GR,8A9G,8A9G_2,13,0.016731,True,0.029787,False,0.0,TRACE_LBD,Glucocorticoid receptor
Q15466,NR0B2,SHP,7YXP,7YXP_2,13,0.050584,True,0.053719,,,TRACE_LBD,SHP NR Box 1 Peptide
Q15466,NR0B2,SHP,1YUC,1YUC_2,14,0.054475,True,0.053719,,,TRACE_LBD,Nuclear receptor 0B2
Q15466,NR0B2,SHP,4DOR,4DOR_2,14,0.054475,True,0.053719,,,TRACE_LBD,Nuclear receptor subfamily 0 group B member 2
P03372,NR3A1,ERα,11SD,11SD_2,15,0.02521,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,11ZU,11ZU_2,15,0.02521,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,11SH,11SH_2,15,0.02521,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,11SE,11SE_2,15,0.02521,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,11SI,11SI_2,15,0.02521,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,11SG,11SG_2,15,0.02521,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,11SJ,11SJ_2,15,0.02521,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,11SF,11SF_2,15,0.02521,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,7OQ7,7OQ7_2,15,0.02521,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,9Y7E,9Y7E_2,15,0.02521,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor Alpha Peptide
P03372,NR3A1,ERα,9YC4,9YC4_2,15,0.02521,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor Alpha Peptide
P03372,NR3A1,ERα,7OPW,7OPW_2,15,0.02521,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P51843,NR0B1,DAX-1,4RWV,4RWV_2,15,0.031915,False,0.0,,,NO_LBD_OVERLAP,Nuclear receptor DAX1
P51449,NR1F3,RORγ,7QP4,7QP4_2,15,0.028958,True,0.0625,False,0.0,TRACE_LBD,HIS-VAL-GLU-ARG-LEU-GLN-ILE-PHE-GLN-HIS-LEU-HIS-PRO-ILE-VAL
P03372,NR3A1,ERα,7OQ8,7OQ8_2,15,0.02521,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P10275,NR3C4,AR,3BTR,3BTR_2,15,0.016304,False,0.0,True,0.150685,NO_LBD_OVERLAP,Androgen receptor
Q15466,NR0B2,SHP,9HDF,9HDF_3,15,0.058366,True,0.057851,,,TRACE_LBD,Nuclear receptor subfamily 0 group B member 2
P03372,NR3A1,ERα,2LLO,2LLO_2,19,0.031933,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,2LLQ,2LLQ_2,19,0.031933,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
Q15466,NR0B2,SHP,4ONI,4ONI_2,19,0.07393,True,0.061983,,,TRACE_LBD,Nuclear receptor subfamily 0 group B member 2
P03372,NR3A1,ERα,5T0X,5T0X_2,19,0.031933,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor peptide
P04150,NR3C1,GR,6YOS,6YOS_2,26,0.033462,True,0.085106,False,0.0,TRACE_LBD,"Glucocorticoid receptor,Glucocorticoid receptor"
