uniprot_id,nr_code,common_name,sequence_length,profile_lbd_start,profile_lbd_end,profile_lbd_length,profile_source,profile_source_identifier,previous_cohort_lbd_start,previous_cohort_lbd_end,previous_cohort_lbd_length,previous_cohort_source,start_difference_previous_vs_profile,end_difference_previous_vs_profile,length_difference_previous_vs_profile,historical_range_available,boundary_audit_status,boundary_audit_notes
P41235,NR2A1,HNF4α,474,147,377,231,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
Q14541,NR2A2,HNF4γ,408,99,328,230,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
O00482,NR5A2,LRH-1,541,300,539,240,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
Q13133,NR1H3,LXRα,447,209,447,239,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P55055,NR1H2,LXRβ,460,222,460,239,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P22736,NR4A1,NUR77,598,360,595,236,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P43354,NR4A2,NURR1,598,360,595,236,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
Q07869,NR1C1,PPARα,468,239,466,228,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
Q03181,NR1C2,PPARδ,441,211,439,229,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P37231,NR1C3,PPARγ,505,238,503,266,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
O75469,NR1I2,PXR,434,146,433,288,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P20393,NR1D1,Rev-erbα,614,284,614,331,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
Q14995,NR1D2,Rev-erbβ,579,369,579,211,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P35398,NR1F1,RORα,523,272,510,239,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
Q92753,NR1F2,RORβ,470,222,460,239,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P51449,NR1F3,RORγ,518,269,508,240,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P19793,NR2B1,RXRα,462,227,458,232,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P28702,NR2B2,RXRβ,533,296,529,234,UniProt,PROSITE-ProRule:PRU01189; PubMed:11782480,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P48443,NR2B3,RXRγ,463,231,459,229,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
Q13285,NR5A1,SF-1,461,222,459,238,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P13056,NR2C1,TR2,603,348,590,243,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P49116,NR2C2,TR4,596,341,583,243,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P10589,NR2F1,COUP-TFI,423,184,410,227,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P24468,NR2F2,COUP-TFII,414,177,403,227,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P51843,NR0B1,DAX-1,470,205,469,265,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P10588,NR2F6,EAR-2,404,165,393,229,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
Q15406,NR6A1,GCNF,480,249,480,232,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
Q92570,NR4A3,NOR-1,626,394,623,230,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
Q9Y5X4,NR2E3,PNR,410,169,410,242,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
Q15466,NR0B2,SHP,257,16,257,242,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
Q9Y466,NR2E1,TLX,385,155,383,229,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
