polymer_entity_id,pdb_id,entity_id,project_receptor_uniprot,project_receptor_name,entity_description,entity_sequence_length,all_mapped_uniprot_accessions,project_receptor_reference_coverage,project_receptor_entity_coverage,all_mapping_ranges_json,source_organism_names,source_taxonomy_ids,classification,classification_reason
5VB6_1,5VB6,1,P51449,RORγ,"Nuclear receptor ROR-gamma, SRC2 chimera",280,"[""P51449"",""Q15596""]",0.478764,0.885714,"{""P51449"":[{""entity_beg_seq_id"":17,""ref_beg_seq_id"":260,""length"":248,""entity_end_seq_id"":264,""ref_end_seq_id"":507}],""Q15596"":[{""entity_beg_seq_id"":268,""ref_beg_seq_id"":685,""length"":13,""entity_end_seq_id"":280,""ref_end_seq_id"":697}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(17, 264)] and Q15596's range(s) [(268, 280)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
5VB7_1,5VB7,1,P51449,RORγ,"Nuclear receptor ROR-gamma, SRC2 chimera",280,"[""P51449"",""Q15596""]",0.478764,0.885714,"{""P51449"":[{""entity_beg_seq_id"":17,""ref_beg_seq_id"":260,""length"":248,""entity_end_seq_id"":264,""ref_end_seq_id"":507}],""Q15596"":[{""entity_beg_seq_id"":268,""ref_beg_seq_id"":685,""length"":13,""entity_end_seq_id"":280,""ref_end_seq_id"":697}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(17, 264)] and Q15596's range(s) [(268, 280)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
5VQK_1,5VQK,1,P51449,RORγ,"Nuclear receptor ROR-gamma, SRC2 chimera",280,"[""P51449"",""Q15596""]",0.478764,0.885714,"{""P51449"":[{""entity_beg_seq_id"":17,""ref_beg_seq_id"":260,""length"":248,""entity_end_seq_id"":264,""ref_end_seq_id"":507}],""Q15596"":[{""entity_beg_seq_id"":268,""ref_beg_seq_id"":685,""length"":13,""entity_end_seq_id"":280,""ref_end_seq_id"":697}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(17, 264)] and Q15596's range(s) [(268, 280)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
5VQL_1,5VQL,1,P51449,RORγ,"Nuclear receptor ROR-gamma, SRC2 chimera",280,"[""P51449"",""Q15596""]",0.478764,0.885714,"{""P51449"":[{""entity_beg_seq_id"":17,""ref_beg_seq_id"":260,""length"":248,""entity_end_seq_id"":264,""ref_end_seq_id"":507}],""Q15596"":[{""entity_beg_seq_id"":268,""ref_beg_seq_id"":685,""length"":13,""entity_end_seq_id"":280,""ref_end_seq_id"":697}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(17, 264)] and Q15596's range(s) [(268, 280)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
6BNS_1,6BNS,1,O75469,PXR,"Nuclear receptor subfamily 1 group I member 2,Nuclear receptor coactivator 1 Chimera",351,"[""O75469"",""Q15788""]",0.702765,0.868946,"{""O75469"":[{""entity_beg_seq_id"":8,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":312,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":319,""ref_beg_seq_id"":678,""length"":33,""entity_end_seq_id"":351,""ref_end_seq_id"":710}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(8, 312)] and Q15788's range(s) [(319, 351)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
6HTY_1,6HTY,1,O75469,PXR,"Nuclear receptor subfamily 1 group I member 2,Nuclear receptor coactivator 1",344,"[""O75469"",""Q15788""]",0.705069,0.889535,"{""O75469"":[{""entity_beg_seq_id"":11,""ref_beg_seq_id"":129,""length"":306,""entity_end_seq_id"":316,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":322,""ref_beg_seq_id"":678,""length"":23,""entity_end_seq_id"":344,""ref_end_seq_id"":700}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(11, 316)] and Q15788's range(s) [(322, 344)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
6NX1_1,6NX1,1,O75469,PXR,"Nuclear receptor subfamily 1 group I member 2,Nuclear receptor coactivator 1 fusion",351,"[""O75469"",""Q15788""]",0.702765,0.868946,"{""O75469"":[{""entity_beg_seq_id"":8,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":312,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":319,""ref_beg_seq_id"":678,""length"":33,""entity_end_seq_id"":351,""ref_end_seq_id"":710}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(8, 312)] and Q15788's range(s) [(319, 351)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
6P9F_1,6P9F,1,P51449,RORγ,"Nuclear receptor ROR-gamma, Nuclear receptor coactivator 1 chimera",285,"[""P51449"",""Q15788""]",0.471042,0.85614,"{""P51449"":[{""entity_beg_seq_id"":22,""ref_beg_seq_id"":265,""length"":244,""entity_end_seq_id"":265,""ref_end_seq_id"":508}],""Q15788"":[{""entity_beg_seq_id"":272,""ref_beg_seq_id"":683,""length"":14,""entity_end_seq_id"":285,""ref_end_seq_id"":696}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(22, 265)] and Q15788's range(s) [(272, 285)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
6TFI_1,6TFI,1,O75469,PXR,"Nuclear receptor subfamily 1 group I member 2,Nuclear receptor coactivator 1",344,"[""O75469"",""Q15788""]",0.705069,0.889535,"{""O75469"":[{""entity_beg_seq_id"":11,""ref_beg_seq_id"":129,""length"":306,""entity_end_seq_id"":316,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":325,""ref_beg_seq_id"":681,""length"":20,""entity_end_seq_id"":344,""ref_end_seq_id"":700}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(11, 316)] and Q15788's range(s) [(325, 344)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
6U25_1,6U25,1,P51449,RORγ,NUCLEAR RECEPTOR COACTIVATOR 1 CHIMERA,285,"[""P51449"",""Q15788""]",0.471042,0.85614,"{""P51449"":[{""entity_beg_seq_id"":22,""ref_beg_seq_id"":265,""length"":244,""entity_end_seq_id"":265,""ref_end_seq_id"":508}],""Q15788"":[{""entity_beg_seq_id"":272,""ref_beg_seq_id"":683,""length"":14,""entity_end_seq_id"":285,""ref_end_seq_id"":696}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(22, 265)] and Q15788's range(s) [(272, 285)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
6W9H_1,6W9H,1,P51449,RORγ,"Nuclear receptor ROR-gamma, Steroid receptor coactivator 1 fusion",285,"[""P51449"",""Q15788""]",0.471042,0.85614,"{""P51449"":[{""entity_beg_seq_id"":22,""ref_beg_seq_id"":265,""length"":244,""entity_end_seq_id"":265,""ref_end_seq_id"":508}],""Q15788"":[{""entity_beg_seq_id"":272,""ref_beg_seq_id"":683,""length"":14,""entity_end_seq_id"":285,""ref_end_seq_id"":696}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(22, 265)] and Q15788's range(s) [(272, 285)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
6W9I_1,6W9I,1,P51449,RORγ,"Nuclear receptor ROR-gamma, Steroid receptor coactivator 1 fusion",285,"[""P51449"",""Q15788""]",0.471042,0.85614,"{""P51449"":[{""entity_beg_seq_id"":22,""ref_beg_seq_id"":265,""length"":244,""entity_end_seq_id"":265,""ref_end_seq_id"":508}],""Q15788"":[{""entity_beg_seq_id"":272,""ref_beg_seq_id"":683,""length"":14,""entity_end_seq_id"":285,""ref_end_seq_id"":696}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(22, 265)] and Q15788's range(s) [(272, 285)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
6XP9_1,6XP9,1,O75469,PXR,"Nuclear receptor subfamily 1 group I member 2,Nuclear receptor coactivator 1 fusion",351,"[""O75469"",""Q15788""]",0.702765,0.868946,"{""O75469"":[{""entity_beg_seq_id"":8,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":312,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":319,""ref_beg_seq_id"":678,""length"":33,""entity_end_seq_id"":351,""ref_end_seq_id"":710}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(8, 312)] and Q15788's range(s) [(319, 351)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
7JYM_1,7JYM,1,P51449,RORγ,"Nuclear receptor ROR-gamma, Nuclear receptor coactivator 1",285,"[""P51449"",""Q15788""]",0.471042,0.85614,"{""P51449"":[{""entity_beg_seq_id"":22,""ref_beg_seq_id"":265,""length"":244,""entity_end_seq_id"":265,""ref_end_seq_id"":508}],""Q15788"":[{""entity_beg_seq_id"":272,""ref_beg_seq_id"":683,""length"":14,""entity_end_seq_id"":285,""ref_end_seq_id"":696}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(22, 265)] and Q15788's range(s) [(272, 285)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
7KXD_1,7KXD,1,P51449,RORγ,"Nuclear receptor ROR-gamma, Nuclear receptor coactivator 1 peptide chimera",285,"[""P51449"",""Q15788""]",0.471042,0.85614,"{""P51449"":[{""entity_beg_seq_id"":22,""ref_beg_seq_id"":265,""length"":244,""entity_end_seq_id"":265,""ref_end_seq_id"":508}],""Q15788"":[{""entity_beg_seq_id"":272,""ref_beg_seq_id"":683,""length"":14,""entity_end_seq_id"":285,""ref_end_seq_id"":696}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(22, 265)] and Q15788's range(s) [(272, 285)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
7KXE_1,7KXE,1,P51449,RORγ,"Nuclear receptor ROR-gamma, Nuclear receptor coactivator 1 chimera",285,"[""P51449"",""Q15788""]",0.471042,0.85614,"{""P51449"":[{""entity_beg_seq_id"":22,""ref_beg_seq_id"":265,""length"":244,""entity_end_seq_id"":265,""ref_end_seq_id"":508}],""Q15788"":[{""entity_beg_seq_id"":272,""ref_beg_seq_id"":683,""length"":14,""entity_end_seq_id"":285,""ref_end_seq_id"":696}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(22, 265)] and Q15788's range(s) [(272, 285)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
7KXF_1,7KXF,1,P51449,RORγ,"Nuclear receptor ROR-gamma, Nuclear receptor coactivator 1 chimera",285,"[""P51449"",""Q15788""]",0.471042,0.85614,"{""P51449"":[{""entity_beg_seq_id"":22,""ref_beg_seq_id"":265,""length"":244,""entity_end_seq_id"":265,""ref_end_seq_id"":508}],""Q15788"":[{""entity_beg_seq_id"":272,""ref_beg_seq_id"":683,""length"":14,""entity_end_seq_id"":285,""ref_end_seq_id"":696}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(22, 265)] and Q15788's range(s) [(272, 285)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
7YFK_1,7YFK,1,O75469,PXR,"Nuclear receptor subfamily 1 group I member 2,Nuclear receptor coactivator 1",340,"[""O75469"",""Q15788""]",0.702765,0.897059,"{""O75469"":[{""entity_beg_seq_id"":2,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":306,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":313,""ref_beg_seq_id"":676,""length"":25,""entity_end_seq_id"":337,""ref_end_seq_id"":700}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(2, 306)] and Q15788's range(s) [(313, 337)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
8C5L_1,8C5L,1,P10588,EAR-2,"Maltose/maltodextrin-binding periplasmic protein,Nuclear receptor subfamily 2 group F member 6",568,"[""P0AEX9"",""P10588""]",0.490099,0.348592,"{""P0AEX9"":[{""entity_beg_seq_id"":2,""ref_beg_seq_id"":27,""length"":361,""entity_end_seq_id"":362,""ref_end_seq_id"":387},{""entity_beg_seq_id"":366,""ref_beg_seq_id"":391,""length"":2,""entity_end_seq_id"":367,""ref_end_seq_id"":392}],""P10588"":[{""entity_beg_seq_id"":363,""ref_beg_seq_id"":193,""length"":3,""entity_end_seq_id"":365,""ref_end_seq_id"":195},{""entity_beg_seq_id"":374,""ref_beg_seq_id"":199,""length"":195,""entity_end_seq_id"":568,""ref_end_seq_id"":393}]}","[""Escherichia coli K-12"",""Homo sapiens""]","[9606,83333]",FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(363, 365), (374, 568)] and P0AEX9's range(s) [(2, 362), (366, 367)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
8SVN_1,8SVN,1,O75469,PXR,Pregnane X receptor ligand binding domain fused to SRC-1 coactivator peptide,351,"[""O75469"",""Q15788""]",0.702765,0.868946,"{""O75469"":[{""entity_beg_seq_id"":8,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":312,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":319,""ref_beg_seq_id"":678,""length"":33,""entity_end_seq_id"":351,""ref_end_seq_id"":710}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(8, 312)] and Q15788's range(s) [(319, 351)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
8SVO_1,8SVO,1,O75469,PXR,Pregnane X receptor ligand binding domain fused to SRC-1 coactivator peptide,351,"[""O75469"",""Q15788""]",0.702765,0.868946,"{""O75469"":[{""entity_beg_seq_id"":8,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":312,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":319,""ref_beg_seq_id"":678,""length"":33,""entity_end_seq_id"":351,""ref_end_seq_id"":710}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(8, 312)] and Q15788's range(s) [(319, 351)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
8SVP_1,8SVP,1,O75469,PXR,Pregnane X receptor ligand binding domain fused to SRC-1 coactivator peptide,351,"[""O75469"",""Q15788""]",0.702765,0.868946,"{""O75469"":[{""entity_beg_seq_id"":8,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":312,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":319,""ref_beg_seq_id"":678,""length"":33,""entity_end_seq_id"":351,""ref_end_seq_id"":710}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(8, 312)] and Q15788's range(s) [(319, 351)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
8SVQ_1,8SVQ,1,O75469,PXR,Pregnane X receptor ligand binding domain fused to SRC-1 coactivator peptide,351,"[""O75469"",""Q15788""]",0.702765,0.868946,"{""O75469"":[{""entity_beg_seq_id"":8,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":312,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":319,""ref_beg_seq_id"":678,""length"":33,""entity_end_seq_id"":351,""ref_end_seq_id"":710}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(8, 312)] and Q15788's range(s) [(319, 351)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
8SVR_1,8SVR,1,O75469,PXR,Pregnane X receptor ligand binding domain fused to SRC-1 coactivator peptide,351,"[""O75469"",""Q15788""]",0.702765,0.868946,"{""O75469"":[{""entity_beg_seq_id"":8,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":312,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":319,""ref_beg_seq_id"":678,""length"":33,""entity_end_seq_id"":351,""ref_end_seq_id"":710}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(8, 312)] and Q15788's range(s) [(319, 351)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
8SVS_1,8SVS,1,O75469,PXR,"Nuclear receptor subfamily 1 group I member 2, Nuclear receptor coactivator 1 fusion protein,Nuclear receptor coactivator 1",351,"[""O75469"",""Q15788""]",0.702765,0.868946,"{""O75469"":[{""entity_beg_seq_id"":8,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":312,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":319,""ref_beg_seq_id"":678,""length"":33,""entity_end_seq_id"":351,""ref_end_seq_id"":710}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(8, 312)] and Q15788's range(s) [(319, 351)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
8SVT_1,8SVT,1,O75469,PXR,"Nuclear receptor subfamily 1 group I member 2, Nuclear receptor coactivator 1 fusion protein,Nuclear receptor coactivator 1",351,"[""O75469"",""Q15788""]",0.702765,0.868946,"{""O75469"":[{""entity_beg_seq_id"":8,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":312,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":319,""ref_beg_seq_id"":678,""length"":33,""entity_end_seq_id"":351,""ref_end_seq_id"":710}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(8, 312)] and Q15788's range(s) [(319, 351)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
8SVU_1,8SVU,1,O75469,PXR,"Nuclear receptor subfamily 1 group I member 2, Nuclear receptor coactivator 1 fusion protein,Nuclear receptor coactivator 1",351,"[""O75469"",""Q15788""]",0.702765,0.868946,"{""O75469"":[{""entity_beg_seq_id"":8,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":312,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":319,""ref_beg_seq_id"":678,""length"":33,""entity_end_seq_id"":351,""ref_end_seq_id"":710}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(8, 312)] and Q15788's range(s) [(319, 351)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
