uniprot_id,common_name,nr_code,pdb_id,polymer_entity_id,instance_id,observed_full_lbd_ca_coverage,construct_lbd_mapping_coverage,unmapped_lbd_residues,mapped_but_no_ca_record_residues,zero_occupancy_only_residues,resolution_project_range_status,r_free_status,attrition_classification
P20393,Rev-erbα,NR1D1,8D8I,8D8I_1,8D8I.A,0.60423,0.694864,101,30,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
P24468,COUP-TFII,NR2F2,3CJW,3CJW_1,3CJW.A,0.867841,1.0,0,30,0,ULTRAHIGH_LT_1_8,PASS_ALL_LE_0_30,UNRESOLVED_COORDINATES
P28702,RXRβ,NR2B2,1UHL,1UHL_1,1UHL.A,0.91453,0.991453,2,18,0,PASS_PROJECT_RANGE,FAIL_ALL_GT_0_30,BOTH
P48443,RXRγ,NR2B3,7A79,7A79_1,7A79.B,0.938865,0.991266,2,12,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,BOTH
P49116,TR4,NR2C2,3P0U,3P0U_1,3P0U.A,0.91358,0.971193,7,14,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,BOTH
Q14995,Rev-erbβ,NR1D2,4N73,4N73_1,4N73.A,0.938389,0.938389,13,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
Q15466,SHP,NR0B2,9HDF,9HDF_3,9HDF.Z,0.057851,0.057851,228,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
Q15466,SHP,NR0B2,9HDF,9HDF_3,9HDF.Y,0.057851,0.057851,228,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
Q15466,SHP,NR0B2,9HDF,9HDF_3,9HDF.U,0.057851,0.057851,228,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
Q15466,SHP,NR0B2,9HDF,9HDF_3,9HDF.T,0.057851,0.057851,228,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
Q15466,SHP,NR0B2,9HDF,9HDF_3,9HDF.S,0.057851,0.057851,228,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
Q15466,SHP,NR0B2,9HDF,9HDF_3,9HDF.R,0.057851,0.057851,228,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
Q15466,SHP,NR0B2,9HDF,9HDF_3,9HDF.Q,0.057851,0.057851,228,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
Q15466,SHP,NR0B2,9HDF,9HDF_3,9HDF.FA,0.057851,0.057851,228,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
Q15466,SHP,NR0B2,9HDF,9HDF_3,9HDF.EA,0.057851,0.057851,228,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
Q15466,SHP,NR0B2,9HDF,9HDF_3,9HDF.DA,0.057851,0.057851,228,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
Q15466,SHP,NR0B2,9HDF,9HDF_3,9HDF.CA,0.057851,0.057851,228,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
Q15466,SHP,NR0B2,9HDF,9HDF_3,9HDF.BA,0.057851,0.057851,228,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
Q15466,SHP,NR0B2,9HDF,9HDF_3,9HDF.AA,0.057851,0.057851,228,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
Q9Y466,TLX,NR2E1,4XAJ,4XAJ_1,4XAJ.E,0.855895,0.882096,27,6,0,TOO_LOW_RESOLUTION_GT_3_5,FAIL_ALL_GT_0_30,BOTH
Q9Y466,TLX,NR2E1,4XAJ,4XAJ_1,4XAJ.D,0.855895,0.882096,27,6,0,TOO_LOW_RESOLUTION_GT_3_5,FAIL_ALL_GT_0_30,BOTH
Q9Y466,TLX,NR2E1,4XAJ,4XAJ_1,4XAJ.B,0.855895,0.882096,27,6,0,TOO_LOW_RESOLUTION_GT_3_5,FAIL_ALL_GT_0_30,BOTH
Q9Y466,TLX,NR2E1,4XAJ,4XAJ_1,4XAJ.A,0.855895,0.882096,27,6,0,TOO_LOW_RESOLUTION_GT_3_5,FAIL_ALL_GT_0_30,BOTH
Q9Y5X4,PNR,NR2E3,4LOG,4LOG_1,4LOG.B,0.77686,0.801653,48,6,0,PASS_PROJECT_RANGE,FAIL_ALL_GT_0_30,BOTH
