polymer_entity_id,pdb_id,entity_id,mapped_database_name,mapped_uniprot_accession,alignment_regions_json,query_project_uniprot,is_project_receptor_accession,is_query_receptor_accession,duplicate_mapping_for_same_accession,aligned_region_count,reference_intervals_overlap,entity_intervals_overlap,computed_reference_sequence_coverage,computed_entity_sequence_coverage
1XOW_2,1XOW,2,UniProt,P10275,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":20,""length"":11,""entity_end_seq_id"":11,""ref_end_seq_id"":30}]",P10275,True,True,False,1,False,False,0.011957,1.0
1XOW_1,1XOW,1,UniProt,P10275,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":672,""length"":249,""entity_end_seq_id"":249,""ref_end_seq_id"":920}]",P10275,True,True,False,1,False,False,0.270652,1.0
1XLS_1,1XLS,1,UniProt,P19793,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":227,""length"":232,""entity_end_seq_id"":232,""ref_end_seq_id"":458}]",P19793,True,True,False,1,False,False,0.502165,1.0
1XJ7_1,1XJ7,1,UniProt,P10275,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":664,""length"":257,""entity_end_seq_id"":257,""ref_end_seq_id"":920}]",P10275,True,True,False,1,False,False,0.279348,1.0
1XB7_1,1XB7,1,UniProt,P11474,"[{""entity_beg_seq_id"":18,""ref_beg_seq_id"":194,""length"":230,""entity_end_seq_id"":247,""ref_end_seq_id"":423}]",P11474,True,True,False,1,False,False,0.543735,0.931174
1XAP_1,1XAP,1,UniProt,P10826,"[{""entity_beg_seq_id"":22,""ref_beg_seq_id"":176,""length"":246,""entity_end_seq_id"":267,""ref_end_seq_id"":421}]",P10826,True,True,False,1,False,False,0.540659,0.921348
1X7R_1,1X7R,1,UniProt,P03372,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":305,""length"":245,""entity_end_seq_id"":245,""ref_end_seq_id"":549}]",P03372,True,True,False,1,False,False,0.411765,1.0
1X7J_1,1X7J,1,UniProt,Q92731,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":261,""length"":240,""entity_end_seq_id"":240,""ref_end_seq_id"":500}]",Q92731,True,True,False,1,False,False,0.45283,1.0
1X7E_1,1X7E,1,UniProt,P03372,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":305,""length"":245,""entity_end_seq_id"":245,""ref_end_seq_id"":549}]",P03372,True,True,False,1,False,False,0.411765,1.0
1X7B_1,1X7B,1,UniProt,Q92731,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":261,""length"":240,""entity_end_seq_id"":240,""ref_end_seq_id"":500}]",Q92731,True,True,False,1,False,False,0.45283,1.0
1X78_1,1X78,1,UniProt,Q92731,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":261,""length"":240,""entity_end_seq_id"":240,""ref_end_seq_id"":500}]",Q92731,True,True,False,1,False,False,0.45283,1.0
1X76_1,1X76,1,UniProt,Q92731,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":261,""length"":240,""entity_end_seq_id"":240,""ref_end_seq_id"":500}]",Q92731,True,True,False,1,False,False,0.45283,1.0
1WM0_1,1WM0,1,UniProt,P37231,"[{""entity_beg_seq_id"":19,""ref_beg_seq_id"":232,""length"":274,""entity_end_seq_id"":292,""ref_end_seq_id"":505}]",P37231,True,True,False,1,False,False,0.542574,0.938356
1VJB_1,1VJB,1,UniProt,P62508,"[{""entity_beg_seq_id"":22,""ref_beg_seq_id"":229,""length"":230,""entity_end_seq_id"":251,""ref_end_seq_id"":458}]",P62508,True,True,False,1,False,False,0.502183,0.916335
1UPW_1,1UPW,1,UniProt,P55055,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":203,""length"":257,""entity_end_seq_id"":257,""ref_end_seq_id"":459}]",P55055,True,True,False,1,False,False,0.558696,1.0
1UPV_1,1UPV,1,UniProt,P55055,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":203,""length"":257,""entity_end_seq_id"":257,""ref_end_seq_id"":459}]",P55055,True,True,False,1,False,False,0.558696,1.0
1UOM_1,1UOM,1,UniProt,P03372,"[{""entity_beg_seq_id"":2,""ref_beg_seq_id"":301,""length"":253,""entity_end_seq_id"":254,""ref_end_seq_id"":553}]",P03372,True,True,False,1,False,False,0.42521,0.996063
1UHL_2,1UHL,2,UniProt,Q13133,"[{""entity_beg_seq_id"":2,""ref_beg_seq_id"":207,""length"":241,""entity_end_seq_id"":242,""ref_end_seq_id"":447}]",Q13133,True,True,False,1,False,False,0.53915,0.995868
1UHL_1,1UHL,1,UniProt,P28702,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":298,""length"":236,""entity_end_seq_id"":236,""ref_end_seq_id"":533}]",P28702,True,True,False,1,False,False,0.442777,1.0
1U9E_1,1U9E,1,UniProt,Q92731,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":261,""length"":241,""entity_end_seq_id"":241,""ref_end_seq_id"":501}]",Q92731,True,True,False,1,False,False,0.454717,1.0
1U3S_1,1U3S,1,UniProt,Q92731,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":261,""length"":240,""entity_end_seq_id"":240,""ref_end_seq_id"":500}]",Q92731,True,True,False,1,False,False,0.45283,1.0
1U3R_1,1U3R,1,UniProt,Q92731,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":261,""length"":241,""entity_end_seq_id"":241,""ref_end_seq_id"":501}]",Q92731,True,True,False,1,False,False,0.454717,1.0
1U3Q_1,1U3Q,1,UniProt,Q92731,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":261,""length"":240,""entity_end_seq_id"":240,""ref_end_seq_id"":500}]",Q92731,True,True,False,1,False,False,0.45283,1.0
1TXI_1,1TXI,1,UniProt,P11473,"[{""entity_beg_seq_id"":5,""ref_beg_seq_id"":118,""length"":259,""entity_end_seq_id"":263,""ref_end_seq_id"":376}]",P11473,True,True,False,1,False,False,0.606557,0.984791
1TFC_1,1TFC,1,UniProt,P62508,"[{""entity_beg_seq_id"":22,""ref_beg_seq_id"":229,""length"":230,""entity_end_seq_id"":251,""ref_end_seq_id"":458}]",P62508,True,True,False,1,False,False,0.502183,0.916335
1T65_1,1T65,1,UniProt,P10275,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":670,""length"":251,""entity_end_seq_id"":251,""ref_end_seq_id"":920}]",P10275,True,True,False,1,False,False,0.272826,1.0
1T63_1,1T63,1,UniProt,P10275,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":670,""length"":251,""entity_end_seq_id"":251,""ref_end_seq_id"":920}]",P10275,True,True,False,1,False,False,0.272826,1.0
1T5Z_1,1T5Z,1,UniProt,P10275,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":670,""length"":251,""entity_end_seq_id"":251,""ref_end_seq_id"":920}]",P10275,True,True,False,1,False,False,0.272826,1.0
1SR7_1,1SR7,1,UniProt,P06401,"[{""entity_beg_seq_id"":2,""ref_beg_seq_id"":676,""length"":258,""entity_end_seq_id"":259,""ref_end_seq_id"":933}]",P06401,True,True,False,1,False,False,0.276527,0.996139
1SQN_1,1SQN,1,UniProt,P06401,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":673,""length"":261,""entity_end_seq_id"":261,""ref_end_seq_id"":933}]",P06401,True,True,False,1,False,False,0.279743,1.0
1SKX_1,1SKX,1,UniProt,O75469,"[{""entity_beg_seq_id"":12,""ref_beg_seq_id"":130,""length"":302,""entity_end_seq_id"":313,""ref_end_seq_id"":431}]",O75469,True,True,False,1,False,False,0.695853,0.964856
1SJ0_1,1SJ0,1,UniProt,P03372,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":307,""length"":248,""entity_end_seq_id"":248,""ref_end_seq_id"":554}]",P03372,True,True,False,1,False,False,0.416807,1.0
1S19_1,1S19,1,UniProt,P11473,"[{""entity_beg_seq_id"":5,""ref_beg_seq_id"":118,""length"":259,""entity_end_seq_id"":263,""ref_end_seq_id"":376}]",P11473,True,True,False,1,False,False,0.606557,0.984791
1S0Z_1,1S0Z,1,UniProt,P11473,"[{""entity_beg_seq_id"":5,""ref_beg_seq_id"":118,""length"":259,""entity_end_seq_id"":263,""ref_end_seq_id"":376}]",P11473,True,True,False,1,False,False,0.606557,0.984791
1S0X_1,1S0X,1,UniProt,P35398,"[{""entity_beg_seq_id"":18,""ref_beg_seq_id"":271,""length"":253,""entity_end_seq_id"":270,""ref_end_seq_id"":523}]",P35398,True,True,False,1,False,False,0.483748,0.937037
1RXR_1,1RXR,1,UniProt,P19793,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":130,""length"":83,""entity_end_seq_id"":83,""ref_end_seq_id"":212}]",P19793,True,True,False,1,False,False,0.179654,1.0
1RDT_3,1RDT,3,UniProt,P37231,"[{""entity_beg_seq_id"":14,""ref_beg_seq_id"":235,""length"":271,""entity_end_seq_id"":284,""ref_end_seq_id"":505}]",P37231,True,True,False,1,False,False,0.536634,0.954225
1RDT_1,1RDT,1,UniProt,P19793,"[{""entity_beg_seq_id"":5,""ref_beg_seq_id"":225,""length"":238,""entity_end_seq_id"":242,""ref_end_seq_id"":462}]",P19793,True,True,False,1,False,False,0.515152,0.983471
1R6G_1,1R6G,1,UniProt,P10828,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":203,""length"":259,""entity_end_seq_id"":259,""ref_end_seq_id"":461}]",P10828,True,True,False,1,False,False,0.561822,1.0
1R5K_1,1R5K,1,UniProt,P03372,"[{""entity_beg_seq_id"":4,""ref_beg_seq_id"":297,""length"":258,""entity_end_seq_id"":261,""ref_end_seq_id"":554}]",P03372,True,True,False,1,False,False,0.433613,0.988506
1R0N_3,1R0N,3,UniProt,P19793,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":130,""length"":77,""entity_end_seq_id"":77,""ref_end_seq_id"":206}]",P19793,True,True,False,1,False,False,0.166667,0.950617
1QKU_1,1QKU,1,UniProt,P03372,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":301,""length"":250,""entity_end_seq_id"":250,""ref_end_seq_id"":550}]",P03372,True,True,False,1,False,False,0.420168,1.0
1QKT_1,1QKT,1,UniProt,P03372,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":304,""length"":248,""entity_end_seq_id"":248,""ref_end_seq_id"":551}]",P03372,True,True,False,1,False,False,0.416807,1.0
1QKM_1,1QKM,1,UniProt,Q92731,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":255,""length"":255,""entity_end_seq_id"":255,""ref_end_seq_id"":509}]",Q92731,True,True,False,1,False,False,0.481132,1.0
1Q4X_1,1Q4X,1,UniProt,P10828,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":209,""length"":253,""entity_end_seq_id"":253,""ref_end_seq_id"":461}]",P10828,True,True,False,1,False,False,0.548807,1.0
1PZL_1,1PZL,1,UniProt,P41235,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":142,""length"":237,""entity_end_seq_id"":237,""ref_end_seq_id"":378}]",P41235,True,True,False,1,False,False,0.5,1.0
1PRG_1,1PRG,1,UniProt,P37231,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":235,""length"":270,""entity_end_seq_id"":270,""ref_end_seq_id"":504}]",P37231,True,True,False,1,False,False,0.534653,1.0
1PQC_1,1PQC,1,UniProt,P55055,"[{""entity_beg_seq_id"":5,""ref_beg_seq_id"":212,""length"":249,""entity_end_seq_id"":253,""ref_end_seq_id"":460}]",P55055,True,True,False,1,False,False,0.541304,0.98419
1PQ9_1,1PQ9,1,UniProt,P55055,"[{""entity_beg_seq_id"":5,""ref_beg_seq_id"":212,""length"":249,""entity_end_seq_id"":253,""ref_end_seq_id"":460}]",P55055,True,True,False,1,False,False,0.541304,0.98419
1PQ6_1,1PQ6,1,UniProt,P55055,"[{""entity_beg_seq_id"":5,""ref_beg_seq_id"":212,""length"":249,""entity_end_seq_id"":253,""ref_end_seq_id"":460}]",P55055,True,True,False,1,False,False,0.541304,0.98419
1PCG_1,1PCG,1,UniProt,P03372,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":304,""length"":244,""entity_end_seq_id"":244,""ref_end_seq_id"":547}]",P03372,True,True,False,1,False,False,0.410084,1.0
1P93_1,1P93,1,UniProt,P04150,"[{""entity_beg_seq_id"":3,""ref_beg_seq_id"":500,""length"":278,""entity_end_seq_id"":280,""ref_end_seq_id"":777}]",P04150,True,True,False,1,False,False,0.357786,0.992857
1P8D_1,1P8D,1,UniProt,P55055,"[{""entity_beg_seq_id"":3,""ref_beg_seq_id"":213,""length"":248,""entity_end_seq_id"":250,""ref_end_seq_id"":460}]",P55055,True,True,False,1,False,False,0.53913,0.992
1OVL_2,1OVL,2,UniProt,P43354,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":328,""length"":271,""entity_end_seq_id"":271,""ref_end_seq_id"":598}]",P43354,True,True,False,1,False,False,0.453177,1.0
1OVL_1,1OVL,1,UniProt,P43354,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":328,""length"":271,""entity_end_seq_id"":271,""ref_end_seq_id"":598}]",P43354,True,True,False,1,False,False,0.453177,1.0
1OSH_1,1OSH,1,UniProt,Q96RI1,"[{""entity_beg_seq_id"":3,""ref_beg_seq_id"":257,""length"":230,""entity_end_seq_id"":232,""ref_end_seq_id"":486}]",Q96RI1,True,True,False,1,False,False,0.473251,0.991379
1NYX_1,1NYX,1,UniProt,P37231,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":230,""length"":276,""entity_end_seq_id"":276,""ref_end_seq_id"":505}]",P37231,True,True,False,1,False,False,0.546535,1.0
1NUO_1,1NUO,1,UniProt,P10828,"[{""entity_beg_seq_id"":2,""ref_beg_seq_id"":202,""length"":260,""entity_end_seq_id"":261,""ref_end_seq_id"":461}]",P10828,True,True,False,1,False,False,0.563991,0.996169
1NRL_1,1NRL,1,UniProt,O75469,"[{""entity_beg_seq_id"":12,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":316,""ref_end_seq_id"":434}]",O75469,True,True,False,1,False,False,0.702765,0.96519
1NQ2_1,1NQ2,1,UniProt,P10828,"[{""entity_beg_seq_id"":5,""ref_beg_seq_id"":202,""length"":260,""entity_end_seq_id"":264,""ref_end_seq_id"":461}]",P10828,True,True,False,1,False,False,0.563991,0.984848
1NQ1_1,1NQ1,1,UniProt,P10828,"[{""entity_beg_seq_id"":4,""ref_beg_seq_id"":202,""length"":260,""entity_end_seq_id"":263,""ref_end_seq_id"":461}]",P10828,True,True,False,1,False,False,0.563991,0.988593
1NQ0_1,1NQ0,1,UniProt,P10828,"[{""entity_beg_seq_id"":4,""ref_beg_seq_id"":202,""length"":260,""entity_end_seq_id"":263,""ref_end_seq_id"":461}]",P10828,True,True,False,1,False,False,0.563991,0.988593
1NHZ_1,1NHZ,1,UniProt,P04150,"[{""entity_beg_seq_id"":3,""ref_beg_seq_id"":500,""length"":278,""entity_end_seq_id"":280,""ref_end_seq_id"":777}]",P04150,True,True,False,1,False,False,0.357786,0.992857
1NDE_1,1NDE,1,UniProt,Q92731,"[{""entity_beg_seq_id"":5,""ref_beg_seq_id"":251,""length"":251,""entity_end_seq_id"":255,""ref_end_seq_id"":501}]",Q92731,True,True,False,1,False,False,0.473585,0.984314
1NAX_1,1NAX,1,UniProt,P10828,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":209,""length"":252,""entity_end_seq_id"":252,""ref_end_seq_id"":460}]",P10828,True,True,False,1,False,False,0.546638,1.0
1NAV_1,1NAV,1,UniProt,P10827,"[{""entity_beg_seq_id"":3,""ref_beg_seq_id"":148,""length"":223,""entity_end_seq_id"":225,""ref_end_seq_id"":370}]",P10827,True,True,False,1,False,False,0.455102,0.847909
1N83_1,1N83,1,UniProt,P35398,"[{""entity_beg_seq_id"":18,""ref_beg_seq_id"":271,""length"":253,""entity_end_seq_id"":270,""ref_end_seq_id"":523}]",P35398,True,True,False,1,False,False,0.483748,0.937037
1N46_1,1N46,1,UniProt,P10828,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":204,""length"":258,""entity_end_seq_id"":258,""ref_end_seq_id"":461}]",P10828,True,True,False,1,False,False,0.559653,1.0
1MZN_1,1MZN,1,UniProt,P19793,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":223,""length"":240,""entity_end_seq_id"":240,""ref_end_seq_id"":462}]",P19793,True,True,False,1,False,False,0.519481,1.0
1MVC_1,1MVC,1,UniProt,P19793,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":223,""length"":240,""entity_end_seq_id"":240,""ref_end_seq_id"":462}]",P19793,True,True,False,1,False,False,0.519481,1.0
1MV9_1,1MV9,1,UniProt,P19793,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":223,""length"":240,""entity_end_seq_id"":240,""ref_end_seq_id"":462}]",P19793,True,True,False,1,False,False,0.519481,1.0
1M2Z_1,1M2Z,1,UniProt,P04150,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":521,""length"":257,""entity_end_seq_id"":257,""ref_end_seq_id"":777}]",P04150,True,True,False,1,False,False,0.330759,1.0
1M13_1,1M13,1,UniProt,O75469,"[{""entity_beg_seq_id"":12,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":316,""ref_end_seq_id"":434}]",O75469,True,True,False,1,False,False,0.702765,0.96519
1LV2_1,1LV2,1,UniProt,Q14541,"[{""entity_beg_seq_id"":4,""ref_beg_seq_id"":103,""length"":226,""entity_end_seq_id"":229,""ref_end_seq_id"":328}]",Q14541,True,True,False,1,False,False,0.553922,0.9869
1LO1_3,1LO1,3,UniProt,O95718,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":97,""length"":98,""entity_end_seq_id"":98,""ref_end_seq_id"":194}]",O95718,True,True,False,1,False,False,0.226328,1.0
1L2J_1,1L2J,1,UniProt,Q92731,"[{""entity_beg_seq_id"":22,""ref_beg_seq_id"":256,""length"":250,""entity_end_seq_id"":271,""ref_end_seq_id"":505}]",Q92731,True,True,False,1,False,False,0.471698,0.922509
1L2I_1,1L2I,1,UniProt,P03372,"[{""entity_beg_seq_id"":4,""ref_beg_seq_id"":297,""length"":258,""entity_end_seq_id"":261,""ref_end_seq_id"":554}]",P03372,True,True,False,1,False,False,0.433613,0.988506
1KV6_1,1KV6,1,UniProt,P62508,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":229,""length"":230,""entity_end_seq_id"":230,""ref_end_seq_id"":458}]",P62508,True,True,False,1,False,False,0.502183,1.0
1KNU_1,1KNU,1,UniProt,P37231,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":232,""length"":274,""entity_end_seq_id"":274,""ref_end_seq_id"":505}]",P37231,True,True,False,1,False,False,0.542574,1.0
1KKQ_1,1KKQ,1,UniProt,Q07869,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":200,""length"":269,""entity_end_seq_id"":269,""ref_end_seq_id"":468}]",Q07869,True,True,False,1,False,False,0.574786,1.0
1KB6_3,1KB6,3,UniProt,P11473,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":16,""length"":110,""entity_end_seq_id"":110,""ref_end_seq_id"":125}]",P11473,True,True,False,1,False,False,0.257611,1.0
1KB4_3,1KB4,3,UniProt,P11473,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":16,""length"":110,""entity_end_seq_id"":110,""ref_end_seq_id"":125}]",P11473,True,True,False,1,False,False,0.257611,1.0
1KB2_3,1KB2,3,UniProt,P11473,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":16,""length"":110,""entity_end_seq_id"":110,""ref_end_seq_id"":125}]",P11473,True,True,False,1,False,False,0.257611,1.0
1K7L_1,1K7L,1,UniProt,Q07869,"[{""entity_beg_seq_id"":12,""ref_beg_seq_id"":192,""length"":277,""entity_end_seq_id"":288,""ref_end_seq_id"":468}]",Q07869,True,True,False,1,False,False,0.59188,0.961806
1K74_2,1K74,2,UniProt,P37231,"[{""entity_beg_seq_id"":12,""ref_beg_seq_id"":234,""length"":272,""entity_end_seq_id"":283,""ref_end_seq_id"":505}]",P37231,True,True,False,1,False,False,0.538614,0.961131
1K74_1,1K74,1,UniProt,P19793,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":225,""length"":238,""entity_end_seq_id"":238,""ref_end_seq_id"":462}]",P19793,True,True,False,1,False,False,0.515152,1.0
1ILH_1,1ILH,1,UniProt,O75469,"[{""entity_beg_seq_id"":12,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":316,""ref_end_seq_id"":434}]",O75469,True,True,False,1,False,False,0.702765,0.96519
1ILG_1,1ILG,1,UniProt,O75469,"[{""entity_beg_seq_id"":12,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":316,""ref_end_seq_id"":434}]",O75469,True,True,False,1,False,False,0.702765,0.96519
1IE9_1,1IE9,1,UniProt,P11473,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":118,""length"":259,""entity_end_seq_id"":259,""ref_end_seq_id"":376}]",P11473,True,True,False,1,False,False,0.606557,1.0
1IE8_1,1IE8,1,UniProt,P11473,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":118,""length"":259,""entity_end_seq_id"":259,""ref_end_seq_id"":376}]",P11473,True,True,False,1,False,False,0.606557,1.0
1I7I_1,1I7I,1,UniProt,P37231,"[{""entity_beg_seq_id"":12,""ref_beg_seq_id"":225,""length"":281,""entity_end_seq_id"":292,""ref_end_seq_id"":505}]",P37231,True,True,False,1,False,False,0.556436,0.962329
1I7G_1,1I7G,1,UniProt,Q07869,"[{""entity_beg_seq_id"":15,""ref_beg_seq_id"":196,""length"":273,""entity_end_seq_id"":287,""ref_end_seq_id"":468}]",Q07869,True,True,False,1,False,False,0.583333,0.95122
1HRA_1,1HRA,1,UniProt,P10826,"[{""entity_beg_seq_id"":2,""ref_beg_seq_id"":82,""length"":79,""entity_end_seq_id"":80,""ref_end_seq_id"":160}]",P10826,True,True,False,1,False,False,0.173626,0.9875
1HLZ_3,1HLZ,3,UniProt,P20393,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":123,""length"":94,""entity_end_seq_id"":94,""ref_end_seq_id"":216}]",P20393,True,True,False,1,False,False,0.153094,1.0
1HCQ_3,1HCQ,3,UniProt,P03372,"[{""entity_beg_seq_id"":2,""ref_beg_seq_id"":180,""length"":83,""entity_end_seq_id"":84,""ref_end_seq_id"":262}]",P03372,True,True,False,1,False,False,0.139496,0.988095
1HCP_1,1HCP,1,UniProt,P03372,"[{""entity_beg_seq_id"":2,""ref_beg_seq_id"":180,""length"":75,""entity_end_seq_id"":76,""ref_end_seq_id"":254}]",P03372,True,True,False,1,False,False,0.12605,0.986842
1H9U_1,1H9U,1,UniProt,P28702,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":299,""length"":224,""entity_end_seq_id"":224,""ref_end_seq_id"":522}]",P28702,True,True,False,1,False,False,0.420263,1.0
1GWX_1,1GWX,1,UniProt,Q03181,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":171,""length"":271,""entity_end_seq_id"":271,""ref_end_seq_id"":441}]",Q03181,True,True,False,1,False,False,0.614512,1.0
1GWR_1,1GWR,1,UniProt,P03372,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":305,""length"":245,""entity_end_seq_id"":245,""ref_end_seq_id"":549}]",P03372,True,True,False,1,False,False,0.411765,1.0
1GWQ_1,1GWQ,1,UniProt,P03372,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":301,""length"":248,""entity_end_seq_id"":248,""ref_end_seq_id"":548}]",P03372,True,True,False,1,False,False,0.416807,1.0
1GS4_1,1GS4,1,UniProt,P10275,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":671,""length"":248,""entity_end_seq_id"":248,""ref_end_seq_id"":918}]",P10275,True,True,False,1,False,False,0.269565,1.0
1GA5_3,1GA5,3,UniProt,P20393,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":123,""length"":94,""entity_end_seq_id"":94,""ref_end_seq_id"":216}]",P20393,True,True,False,1,False,False,0.153094,1.0
1G5Y_1,1G5Y,1,UniProt,P19793,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":225,""length"":238,""entity_end_seq_id"":238,""ref_end_seq_id"":462}]",P19793,True,True,False,1,False,False,0.515152,1.0
