common_name,nr_code,uniprot_id,base_status,best_observed_coverage,tied_best_candidates_json,candidates_at_100pct,pdb_entries_at_100pct,status_at_100pct,candidates_at_99pct,pdb_entries_at_99pct,status_at_99pct,candidates_at_95pct,pdb_entries_at_95pct,status_at_95pct,candidates_at_90pct,pdb_entries_at_90pct,status_at_90pct,candidates_at_80pct,pdb_entries_at_80pct,status_at_80pct
ERRγ,NR3B3,P62508,HAS_CANDIDATE,1.0,"[""1TFC/1TFC_1"", ""2E2R/2E2R_1"", ""2GPP/2GPP_1"", ""2ZAS/2ZAS_1"", ""2ZBS/2ZBS_1"", ""2ZKC/2ZKC_1"", ""6K3N/6K3N_1"", ""6KNR/6KNR_1"", ""9KNC/9KNC_1"", ""9KND/9KND_1"", ""9KNF/9KNF_1""]",11,11,RETAINED,26,26,RETAINED,30,30,RETAINED,32,32,RETAINED,32,32,RETAINED
FXR,NR1H4,Q96RI1,HAS_CANDIDATE,1.0,"[""3DCT/3DCT_1"", ""3DCU/3DCU_1"", ""3HC5/3HC5_1"", ""3HC6/3HC6_1"", ""3OKI/3OKI_1"", ""3OLF/3OLF_1"", ""3OMK/3OMK_1"", ""3OMM/3OMM_1"", ""3OOF/3OOF_1"", ""3OOK/3OOK_1"", ""3P88/3P88_1"", ""3RUT/3RUT_1"", ""3RUU/3RUU_1"", ""3RVF/3RVF_1"", ""5IAW/5IAW_1"", ""5ICK/5ICK_1"", ""5Q0J/5Q0J_1"", ""5Q0L/5Q0L_1"", ""5Q0O/5Q0O_1"", ""5Q0P/5Q0P_1"", ""5Q0S/5Q0S_1"", ""5Q0U/5Q0U_1"", ""5Q0V/5Q0V_1"", ""5Q0Y/5Q0Y_1"", ""5Q0Z/5Q0Z_1"", ""5Q13/5Q13_1"", ""5Q14/5Q14_1"", ""5Q15/5Q15_1"", ""5Q16/5Q16_1"", ""5Q18/5Q18_1"", ""5Q19/5Q19_1"", ""5Q1A/5Q1A_1"", ""5Q1B/5Q1B_1"", ""5Q1C/5Q1C_1"", ""5Q1D/5Q1D_1"", ""5Q1F/5Q1F_1"", ""5Q1H/5Q1H_1"", ""5YXD/5YXD_1"", ""6A5X/6A5X_1"", ""9H65/9H65_1"", ""9H66/9H66_1""]",41,41,RETAINED,56,56,RETAINED,86,86,RETAINED,91,91,RETAINED,91,91,RETAINED
HNF4α,NR2A1,P41235,HAS_CANDIDATE,0.995671,"[""3FS1/3FS1_1""]",0,0,LOST_AT_THRESHOLD,1,1,RETAINED,4,4,RETAINED,6,6,RETAINED,7,7,RETAINED
HNF4γ,NR2A2,Q14541,HAS_CANDIDATE,0.965217,"[""1LV2/1LV2_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,1,1,RETAINED,1,1,RETAINED,1,1,RETAINED
LRH-1,NR5A2,O00482,HAS_CANDIDATE,1.0,"[""1YUC/1YUC_1"", ""4DOR/4DOR_1"", ""4ONI/4ONI_1"", ""4RWV/4RWV_1"", ""7JYE/7JYE_1""]",5,5,RETAINED,13,13,RETAINED,23,23,RETAINED,25,25,RETAINED,25,25,RETAINED
LXRα,NR1H3,Q13133,HAS_CANDIDATE,0.974895,"[""3IPU/3IPU_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,1,1,RETAINED,7,7,RETAINED,7,7,RETAINED
LXRβ,NR1H2,P55055,HAS_CANDIDATE,1.0,"[""3L0E/3L0E_1"", ""5I4V/5I4V_1""]",2,2,RETAINED,7,7,RETAINED,20,20,RETAINED,24,24,RETAINED,25,25,RETAINED
NUR77,NR4A1,P22736,HAS_CANDIDATE,0.995763,"[""3V3Q/3V3Q_1""]",0,0,LOST_AT_THRESHOLD,2,2,RETAINED,21,21,RETAINED,21,21,RETAINED,21,21,RETAINED
NURR1,NR4A2,P43354,HAS_CANDIDATE,0.987288,"[""1OVL/1OVL_2"", ""6DDA/6DDA_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,6,5,RETAINED,8,6,RETAINED,8,6,RETAINED
PPARα,NR1C1,Q07869,HAS_CANDIDATE,1.0,"[""1K7L/1K7L_1"", ""1KKQ/1KKQ_1"", ""2NPA/2NPA_1"", ""2P54/2P54_1"", ""3ET1/3ET1_1"", ""4BCR/4BCR_1"", ""5AZT/5AZT_1"", ""6KAX/6KAX_1"", ""6KAZ/6KAZ_1"", ""6KB0/6KB0_1"", ""6KB1/6KB1_1"", ""6KB2/6KB2_1"", ""6KB4/6KB4_1"", ""6KB5/6KB5_1"", ""6KB6/6KB6_1"", ""6KB7/6KB7_1"", ""6KB9/6KB9_1"", ""6KBA/6KBA_1"", ""6KXX/6KXX_1"", ""6KYP/6KYP_1"", ""6L36/6L36_1"", ""6L37/6L37_1"", ""6L38/6L38_1"", ""6LX4/6LX4_1"", ""6LX5/6LX5_1"", ""6LX6/6LX6_1"", ""6LX7/6LX7_1"", ""6LX8/6LX8_1"", ""6LX9/6LX9_1"", ""6LXA/6LXA_1"", ""7BPY/7BPY_1"", ""7BQ0/7BQ0_1"", ""7E5F/7E5F_1"", ""7E5G/7E5G_1"", ""7E5H/7E5H_1"", ""7E5I/7E5I_1"", ""8YU8/8YU8_1"", ""8YWV/8YWV_1"", ""9IWM/9IWM_1"", ""9IWO/9IWO_1"", ""9SFS/9SFS_1"", ""9T5S/9T5S_1"", ""9VZS/9VZS_1"", ""9VZT/9VZT_1""]",44,44,RETAINED,46,46,RETAINED,77,77,RETAINED,78,78,RETAINED,79,79,RETAINED
PPARδ,NR1C2,Q03181,HAS_CANDIDATE,1.0,"[""1GWX/1GWX_1"", ""2GWX/2GWX_1"", ""2XYW/2XYW_1"", ""2XYX/2XYX_1"", ""3GWX/3GWX_1"", ""3OZ0/3OZ0_1"", ""3SP9/3SP9_1"", ""5U3Q/5U3Q_1"", ""5U3R/5U3R_1"", ""5U3S/5U3S_1"", ""5U3T/5U3T_1"", ""5U3V/5U3V_1"", ""5U3W/5U3W_1"", ""5U3Z/5U3Z_1"", ""5U41/5U41_1"", ""5U42/5U42_1"", ""5U43/5U43_1"", ""5U45/5U45_1"", ""5U46/5U46_1"", ""7W0G/7W0G_1""]",20,20,RETAINED,21,21,RETAINED,54,54,RETAINED,55,55,RETAINED,55,55,RETAINED
PPARγ,NR1C3,P37231,HAS_CANDIDATE,1.0,"[""1FM6/1FM6_2"", ""1FM9/1FM9_2"", ""1K74/1K74_2"", ""1PRG/1PRG_1"", ""1ZGY/1ZGY_1"", ""2ATH/2ATH_1"", ""2F4B/2F4B_1"", ""2G0G/2G0G_1"", ""2G0H/2G0H_1"", ""2HFP/2HFP_1"", ""2OM9/2OM9_1"", ""2PRG/2PRG_1"", ""2ZK0/2ZK0_1"", ""2ZK1/2ZK1_1"", ""2ZK2/2ZK2_1"", ""2ZK3/2ZK3_1"", ""2ZK4/2ZK4_1"", ""2ZK5/2ZK5_1"", ""2ZK6/2ZK6_1"", ""2ZVT/2ZVT_1"", ""3ADW/3ADW_1"", ""3ADX/3ADX_1"", ""3GBK/3GBK_1"", ""3NOA/3NOA_1"", ""3R8I/3R8I_1"", ""3TY0/3TY0_1"", ""4PRG/4PRG_1"", ""5TWO/5TWO_1"", ""5UGM/5UGM_1"", ""6C5Q/6C5Q_1"", ""6D8X/6D8X_1"", ""6D94/6D94_1"", ""6DBH/6DBH_1"", ""6FZF/6FZF_1"", ""6FZG/6FZG_1"", ""6IJR/6IJR_1"", ""6T1V/6T1V_1"", ""7CXF/7CXF_1"", ""7CXH/7CXH_1"", ""7SQB/7SQB_1"", ""7WGO/7WGO_1"", ""7WGQ/7WGQ_1"", ""8AQN/8AQN_1"", ""8ATY/8ATY_1"", ""8ATZ/8ATZ_1"", ""8CPH/8CPH_1"", ""8CPI/8CPI_1"", ""8DK4/8DK4_1"", ""8HUM/8HUM_1"", ""8HUP/8HUP_1"", ""9CK0/9CK0_1"", ""9F7W/9F7W_1"", ""9R6I/9R6I_1""]",53,53,RETAINED,61,61,RETAINED,309,309,RETAINED,378,376,RETAINED,382,379,RETAINED
PXR,NR1I2,O75469,HAS_CANDIDATE,0.96875,"[""4S0T/4S0T_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,9,9,RETAINED,68,68,RETAINED,80,80,RETAINED
Rev-erbα,NR1D1,P20393,HAS_CANDIDATE,0.60423,"[""8D8I/8D8I_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD
Rev-erbβ,NR1D2,Q14995,HAS_CANDIDATE,0.938389,"[""4N73/4N73_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,4,4,RETAINED,6,6,RETAINED
RORα,NR1F1,P35398,HAS_CANDIDATE,1.0,"[""1N83/1N83_1"", ""1S0X/1S0X_1"", ""4S15/4S15_1""]",3,3,RETAINED,3,3,RETAINED,3,3,RETAINED,3,3,RETAINED,3,3,RETAINED
RORβ,NR1F2,Q92753,STAGE2_ZERO_RESULT,,[],0,0,STAGE2_ZERO_RESULT,0,0,STAGE2_ZERO_RESULT,0,0,STAGE2_ZERO_RESULT,0,0,STAGE2_ZERO_RESULT,0,0,STAGE2_ZERO_RESULT
RORγ,NR1F3,P51449,HAS_CANDIDATE,1.0,"[""4NIE/4NIE_1"", ""4WPF/4WPF_1"", ""5EJV/5EJV_1"", ""5NTI/5NTI_1"", ""5NTN/5NTN_1"", ""5NTW/5NTW_1"", ""5NU1/5NU1_1"", ""6FZU/6FZU_1"", ""6G05/6G05_1"", ""6G07/6G07_1"", ""6J3N/6J3N_1"", ""6O3Z/6O3Z_1"", ""6P9F/6P9F_1"", ""7JTW/7JTW_1""]",14,14,RETAINED,101,101,RETAINED,109,109,RETAINED,152,152,RETAINED,162,162,RETAINED
RXRα,NR2B1,P19793,HAS_CANDIDATE,1.0,"[""1FM6/1FM6_1"", ""1FM9/1FM9_1"", ""1K74/1K74_1"", ""1XLS/1XLS_1"", ""1XV9/1XV9_1"", ""1XVP/1XVP_1"", ""6HN6/6HN6_1""]",7,7,RETAINED,7,7,RETAINED,14,14,RETAINED,79,79,RETAINED,94,94,RETAINED
RXRβ,NR2B2,P28702,HAS_CANDIDATE,0.91453,"[""1UHL/1UHL_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,2,2,RETAINED,7,7,RETAINED
RXRγ,NR2B3,P48443,HAS_CANDIDATE,0.938865,"[""7A79/7A79_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,1,1,RETAINED,2,2,RETAINED
SF-1,NR5A1,Q13285,HAS_CANDIDATE,1.0,"[""1ZDT/1ZDT_1"", ""4QJR/4QJR_1"", ""4QK4/4QK4_1""]",3,3,RETAINED,3,3,RETAINED,6,6,RETAINED,6,6,RETAINED,6,6,RETAINED
TR2,NR2C1,P13056,STAGE2_ZERO_RESULT,,[],0,0,STAGE2_ZERO_RESULT,0,0,STAGE2_ZERO_RESULT,0,0,STAGE2_ZERO_RESULT,0,0,STAGE2_ZERO_RESULT,0,0,STAGE2_ZERO_RESULT
TR4,NR2C2,P49116,HAS_CANDIDATE,0.91358,"[""3P0U/3P0U_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,1,1,RETAINED,2,2,RETAINED
COUP-TFI,NR2F1,P10589,NO_STAGE3B_COORDINATE_CANDIDATE,,[],0,0,NO_STAGE3B_COORDINATE_CANDIDATE,0,0,NO_STAGE3B_COORDINATE_CANDIDATE,0,0,NO_STAGE3B_COORDINATE_CANDIDATE,0,0,NO_STAGE3B_COORDINATE_CANDIDATE,0,0,NO_STAGE3B_COORDINATE_CANDIDATE
COUP-TFII,NR2F2,P24468,HAS_CANDIDATE,0.867841,"[""3CJW/3CJW_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,1,1,RETAINED
DAX-1,NR0B1,P51843,NO_STAGE3B_COORDINATE_CANDIDATE,,[],0,0,NO_STAGE3B_COORDINATE_CANDIDATE,0,0,NO_STAGE3B_COORDINATE_CANDIDATE,0,0,NO_STAGE3B_COORDINATE_CANDIDATE,0,0,NO_STAGE3B_COORDINATE_CANDIDATE,0,0,NO_STAGE3B_COORDINATE_CANDIDATE
EAR-2,NR2F6,P10588,HAS_CANDIDATE,0.816594,"[""8C5L/8C5L_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,1,1,RETAINED
GCNF,NR6A1,Q15406,STAGE2_ZERO_RESULT,,[],0,0,STAGE2_ZERO_RESULT,0,0,STAGE2_ZERO_RESULT,0,0,STAGE2_ZERO_RESULT,0,0,STAGE2_ZERO_RESULT,0,0,STAGE2_ZERO_RESULT
NOR-1,NR4A3,Q92570,NO_STAGE3B_COORDINATE_CANDIDATE,,[],0,0,NO_STAGE3B_COORDINATE_CANDIDATE,0,0,NO_STAGE3B_COORDINATE_CANDIDATE,0,0,NO_STAGE3B_COORDINATE_CANDIDATE,0,0,NO_STAGE3B_COORDINATE_CANDIDATE,0,0,NO_STAGE3B_COORDINATE_CANDIDATE
PNR,NR2E3,Q9Y5X4,HAS_CANDIDATE,0.77686,"[""4LOG/4LOG_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD
SHP,NR0B2,Q15466,HAS_CANDIDATE,0.057851,"[""9HDF/9HDF_3""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD
TLX,NR2E1,Q9Y466,HAS_CANDIDATE,0.855895,"[""4XAJ/4XAJ_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,1,1,RETAINED
