uniprot_id,common_name,pdb_id,polymer_entity_id,profile_lbd_start,profile_lbd_end,profile_lbd_mapping_coverage,profile_lbd_mapping_category,previous_lbd_start,previous_lbd_end,previous_lbd_mapping_coverage,previous_lbd_mapping_category,coverage_difference,category_changed,prefilter_consequence_changed
P11473,VDR,3CS4,3CS4_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3CS6,3CS6_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3KPZ,3KPZ_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3M7R,3M7R_1,127,423,0.828283,SUBSTANTIAL_LBD,118,427,0.816129,SUBSTANTIAL_LBD,-0.012154,False,False
P11473,VDR,3OGT,3OGT_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3P8X,3P8X_1,127,423,0.824916,SUBSTANTIAL_LBD,118,427,0.832258,SUBSTANTIAL_LBD,0.007342,False,False
P11473,VDR,3TKC,3TKC_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3VHW,3VHW_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3W0A,3W0A_1,127,423,0.828283,SUBSTANTIAL_LBD,118,427,0.816129,SUBSTANTIAL_LBD,-0.012154,False,False
P11473,VDR,3W0C,3W0C_1,127,423,0.828283,SUBSTANTIAL_LBD,118,427,0.816129,SUBSTANTIAL_LBD,-0.012154,False,False
P11473,VDR,3W0Y,3W0Y_1,127,423,0.828283,SUBSTANTIAL_LBD,118,427,0.816129,SUBSTANTIAL_LBD,-0.012154,False,False
P11473,VDR,3WGP,3WGP_1,127,423,0.828283,SUBSTANTIAL_LBD,118,427,0.816129,SUBSTANTIAL_LBD,-0.012154,False,False
P11473,VDR,3WWR,3WWR_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3X31,3X31_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3X36,3X36_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,4G2I,4G2I_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,4ITE,4ITE_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,4ITF,4ITF_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,5GT4,5GT4_1,127,423,0.828283,SUBSTANTIAL_LBD,118,427,0.822581,SUBSTANTIAL_LBD,-0.005702,False,False
P11473,VDR,5V39,5V39_1,127,423,0.835017,SUBSTANTIAL_LBD,118,427,0.825806,SUBSTANTIAL_LBD,-0.009211,False,False
P11473,VDR,5YSY,5YSY_1,127,423,0.828283,SUBSTANTIAL_LBD,118,427,0.822581,SUBSTANTIAL_LBD,-0.005702,False,False
P11473,VDR,5YT2,5YT2_1,127,423,0.828283,SUBSTANTIAL_LBD,118,427,0.822581,SUBSTANTIAL_LBD,-0.005702,False,False
P11473,VDR,7QPP,7QPP_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,8IQN,8IQN_1,127,423,1.0,NEAR_COMPLETE_LBD,118,427,0.987097,NEAR_COMPLETE_LBD,-0.012903,False,False
P11473,VDR,8IQT,8IQT_1,127,423,1.0,NEAR_COMPLETE_LBD,118,427,0.987097,NEAR_COMPLETE_LBD,-0.012903,False,False
