pdb_id,polymer_entity_id,entity_id,instance_id,label_asym_id,auth_asym_id,instance_metadata_status,instance_metadata_notes,uniprot_id,experimental_methods,resolution_combined_min,resolution_combined_max,r_free_min,r_free_max,lbd_start,lbd_end,mapped_lbd_residues,lbd_mapping_coverage,lbd_mapping_category,taxonomy_audit_status,multi_uniprot_entity,nr_code,common_name,group
1ERR,1ERR_1,1,1ERR.B,B,B,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.6,2.6,0.299,0.299,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1ERR,1ERR_1,1,1ERR.A,A,A,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.6,2.6,0.299,0.299,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1EXA,1EXA_1,1,1EXA.A,A,A,PASS,,P13631,"[""X-RAY DIFFRACTION""]",1.59,1.59,0.25,0.25,185,419,235,1.0,NEAR_COMPLETE_LBD,,False,NR1B3,RARγ,Steroid hormone receptors
1EXX,1EXX_1,1,1EXX.A,A,A,PASS,,P13631,"[""X-RAY DIFFRACTION""]",1.67,1.67,0.243,0.243,185,419,235,1.0,NEAR_COMPLETE_LBD,,False,NR1B3,RARγ,Steroid hormone receptors
1FBY,1FBY_1,1,1FBY.B,B,B,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.25,2.25,0.263,0.263,227,458,232,1.0,NEAR_COMPLETE_LBD,,False,NR2B1,RXRα,Nutritional sensors
1FBY,1FBY_1,1,1FBY.A,A,A,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.25,2.25,0.263,0.263,227,458,232,1.0,NEAR_COMPLETE_LBD,,False,NR2B1,RXRα,Nutritional sensors
1FCX,1FCX_1,1,1FCX.A,A,A,PASS,,P13631,"[""X-RAY DIFFRACTION""]",1.47,1.47,0.1671,0.1671,185,419,233,0.991489,NEAR_COMPLETE_LBD,,False,NR1B3,RARγ,Steroid hormone receptors
1FCY,1FCY_1,1,1FCY.A,A,A,PASS,,P13631,"[""X-RAY DIFFRACTION""]",1.3,1.3,0.1641,0.1641,185,419,233,0.991489,NEAR_COMPLETE_LBD,,False,NR1B3,RARγ,Steroid hormone receptors
1FCZ,1FCZ_1,1,1FCZ.A,A,A,PASS,,P13631,"[""X-RAY DIFFRACTION""]",1.38,1.38,0.1738,0.1738,185,419,233,0.991489,NEAR_COMPLETE_LBD,,False,NR1B3,RARγ,Steroid hormone receptors
1FD0,1FD0_1,1,1FD0.A,A,A,PASS,,P13631,"[""X-RAY DIFFRACTION""]",1.38,1.38,0.158,0.158,185,419,233,0.991489,NEAR_COMPLETE_LBD,,False,NR1B3,RARγ,Steroid hormone receptors
1FM6,1FM6_1,1,1FM6.C,C,U,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.1,2.1,0.292,0.292,227,458,232,1.0,NEAR_COMPLETE_LBD,,False,NR2B1,RXRα,Nutritional sensors
1FM6,1FM6_1,1,1FM6.A,A,A,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.1,2.1,0.292,0.292,227,458,232,1.0,NEAR_COMPLETE_LBD,,False,NR2B1,RXRα,Nutritional sensors
1FM6,1FM6_2,2,1FM6.D,D,X,PASS,,P37231,"[""X-RAY DIFFRACTION""]",2.1,2.1,0.292,0.292,238,503,266,1.0,NEAR_COMPLETE_LBD,,False,NR1C3,PPARγ,Nutritional sensors
1FM6,1FM6_2,2,1FM6.B,B,D,PASS,,P37231,"[""X-RAY DIFFRACTION""]",2.1,2.1,0.292,0.292,238,503,266,1.0,NEAR_COMPLETE_LBD,,False,NR1C3,PPARγ,Nutritional sensors
1FM9,1FM9_1,1,1FM9.A,A,A,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.1,2.1,0.268,0.268,227,458,232,1.0,NEAR_COMPLETE_LBD,,False,NR2B1,RXRα,Nutritional sensors
1FM9,1FM9_2,2,1FM9.B,B,D,PASS,,P37231,"[""X-RAY DIFFRACTION""]",2.1,2.1,0.268,0.268,238,503,266,1.0,NEAR_COMPLETE_LBD,,False,NR1C3,PPARγ,Nutritional sensors
1G1U,1G1U_1,1,1G1U.D,D,D,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.5,2.5,0.271,0.271,227,458,232,1.0,NEAR_COMPLETE_LBD,,False,NR2B1,RXRα,Nutritional sensors
1G1U,1G1U_1,1,1G1U.C,C,C,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.5,2.5,0.271,0.271,227,458,232,1.0,NEAR_COMPLETE_LBD,,False,NR2B1,RXRα,Nutritional sensors
1G1U,1G1U_1,1,1G1U.B,B,B,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.5,2.5,0.271,0.271,227,458,232,1.0,NEAR_COMPLETE_LBD,,False,NR2B1,RXRα,Nutritional sensors
1G1U,1G1U_1,1,1G1U.A,A,A,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.5,2.5,0.271,0.271,227,458,232,1.0,NEAR_COMPLETE_LBD,,False,NR2B1,RXRα,Nutritional sensors
1G50,1G50_1,1,1G50.C,C,C,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.9,2.9,0.31,0.31,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1G50,1G50_1,1,1G50.B,B,B,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.9,2.9,0.31,0.31,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1G50,1G50_1,1,1G50.A,A,A,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.9,2.9,0.31,0.31,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1G5Y,1G5Y_1,1,1G5Y.D,D,D,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.0,2.0,0.2541,0.2541,227,458,232,1.0,NEAR_COMPLETE_LBD,,False,NR2B1,RXRα,Nutritional sensors
1G5Y,1G5Y_1,1,1G5Y.C,C,C,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.0,2.0,0.2541,0.2541,227,458,232,1.0,NEAR_COMPLETE_LBD,,False,NR2B1,RXRα,Nutritional sensors
1G5Y,1G5Y_1,1,1G5Y.B,B,B,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.0,2.0,0.2541,0.2541,227,458,232,1.0,NEAR_COMPLETE_LBD,,False,NR2B1,RXRα,Nutritional sensors
1G5Y,1G5Y_1,1,1G5Y.A,A,A,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.0,2.0,0.2541,0.2541,227,458,232,1.0,NEAR_COMPLETE_LBD,,False,NR2B1,RXRα,Nutritional sensors
1GA5,1GA5_3,3,1GA5.E,E,A,PASS,,P20393,"[""X-RAY DIFFRACTION""]",2.4,2.4,0.299,0.299,284,614,0,0.0,NO_LBD_OVERLAP,,False,NR1D1,Rev-erbα,Nutritional sensors
1GA5,1GA5_3,3,1GA5.F,F,B,PASS,,P20393,"[""X-RAY DIFFRACTION""]",2.4,2.4,0.299,0.299,284,614,0,0.0,NO_LBD_OVERLAP,,False,NR1D1,Rev-erbα,Nutritional sensors
1GA5,1GA5_3,3,1GA5.G,G,E,PASS,,P20393,"[""X-RAY DIFFRACTION""]",2.4,2.4,0.299,0.299,284,614,0,0.0,NO_LBD_OVERLAP,,False,NR1D1,Rev-erbα,Nutritional sensors
1GA5,1GA5_3,3,1GA5.H,H,F,PASS,,P20393,"[""X-RAY DIFFRACTION""]",2.4,2.4,0.299,0.299,284,614,0,0.0,NO_LBD_OVERLAP,,False,NR1D1,Rev-erbα,Nutritional sensors
1GS4,1GS4_1,1,1GS4.A,A,A,PASS,,P10275,"[""X-RAY DIFFRACTION""]",1.95,1.95,0.285,0.285,669,900,230,0.991379,NEAR_COMPLETE_LBD,,False,NR3C4,AR,Steroid hormone receptors
1GWQ,1GWQ_1,1,1GWQ.B,B,B,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.45,2.45,0.269,0.269,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1GWQ,1GWQ_1,1,1GWQ.A,A,A,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.45,2.45,0.269,0.269,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1GWR,1GWR_1,1,1GWR.B,B,B,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.4,2.4,0.288,0.288,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1GWR,1GWR_1,1,1GWR.A,A,A,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.4,2.4,0.288,0.288,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1GWX,1GWX_1,1,1GWX.B,B,B,PASS,,Q03181,"[""X-RAY DIFFRACTION""]",2.5,2.5,0.303,0.303,211,439,229,1.0,NEAR_COMPLETE_LBD,,False,NR1C2,PPARδ,Nutritional sensors
1GWX,1GWX_1,1,1GWX.A,A,A,PASS,,Q03181,"[""X-RAY DIFFRACTION""]",2.5,2.5,0.303,0.303,211,439,229,1.0,NEAR_COMPLETE_LBD,,False,NR1C2,PPARδ,Nutritional sensors
1H9U,1H9U_1,1,1H9U.D,D,D,PASS,,P28702,"[""X-RAY DIFFRACTION""]",2.7,2.7,0.306,0.306,296,529,224,0.957265,NEAR_COMPLETE_LBD,,False,NR2B2,RXRβ,Nutritional sensors
1H9U,1H9U_1,1,1H9U.C,C,C,PASS,,P28702,"[""X-RAY DIFFRACTION""]",2.7,2.7,0.306,0.306,296,529,224,0.957265,NEAR_COMPLETE_LBD,,False,NR2B2,RXRβ,Nutritional sensors
1H9U,1H9U_1,1,1H9U.B,B,B,PASS,,P28702,"[""X-RAY DIFFRACTION""]",2.7,2.7,0.306,0.306,296,529,224,0.957265,NEAR_COMPLETE_LBD,,False,NR2B2,RXRβ,Nutritional sensors
1H9U,1H9U_1,1,1H9U.A,A,A,PASS,,P28702,"[""X-RAY DIFFRACTION""]",2.7,2.7,0.306,0.306,296,529,224,0.957265,NEAR_COMPLETE_LBD,,False,NR2B2,RXRβ,Nutritional sensors
1HCP,1HCP_1,1,1HCP.A,A,A,PASS,,P03372,"[""SOLUTION NMR""]",,,,,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
1HCQ,1HCQ_3,3,1HCQ.H,H,F,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.4,2.4,,,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
1HCQ,1HCQ_3,3,1HCQ.G,G,E,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.4,2.4,,,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
1HCQ,1HCQ_3,3,1HCQ.F,F,B,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.4,2.4,,,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
1HCQ,1HCQ_3,3,1HCQ.E,E,A,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.4,2.4,,,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
1HLZ,1HLZ_3,3,1HLZ.C,C,A,PASS,,P20393,"[""X-RAY DIFFRACTION""]",2.8,2.8,0.3103,0.3103,284,614,0,0.0,NO_LBD_OVERLAP,,False,NR1D1,Rev-erbα,Nutritional sensors
1HLZ,1HLZ_3,3,1HLZ.D,D,B,PASS,,P20393,"[""X-RAY DIFFRACTION""]",2.8,2.8,0.3103,0.3103,284,614,0,0.0,NO_LBD_OVERLAP,,False,NR1D1,Rev-erbα,Nutritional sensors
1HRA,1HRA_1,1,1HRA.A,A,A,PASS,,P10826,"[""SOLUTION NMR""]",,,,,183,417,0,0.0,NO_LBD_OVERLAP,,False,NR1B2,RARβ,Steroid hormone receptors
1I7G,1I7G_1,1,1I7G.A,A,A,PASS,,Q07869,"[""X-RAY DIFFRACTION""]",2.2,2.2,0.271,0.271,239,466,228,1.0,NEAR_COMPLETE_LBD,,False,NR1C1,PPARα,Nutritional sensors
1I7I,1I7I_1,1,1I7I.B,B,B,PASS,,P37231,"[""X-RAY DIFFRACTION""]",2.35,2.35,0.284,0.284,238,503,266,1.0,NEAR_COMPLETE_LBD,,False,NR1C3,PPARγ,Nutritional sensors
1I7I,1I7I_1,1,1I7I.A,A,A,PASS,,P37231,"[""X-RAY DIFFRACTION""]",2.35,2.35,0.284,0.284,238,503,266,1.0,NEAR_COMPLETE_LBD,,False,NR1C3,PPARγ,Nutritional sensors
1IE8,1IE8_1,1,1IE8.A,A,A,PASS,,P11473,"[""X-RAY DIFFRACTION""]",1.52,1.52,0.23,0.23,127,423,250,0.841751,SUBSTANTIAL_LBD,,False,NR1I1,VDR,Steroid hormone receptors
1IE9,1IE9_1,1,1IE9.A,A,A,PASS,,P11473,"[""X-RAY DIFFRACTION""]",1.4,1.4,0.248,0.248,127,423,250,0.841751,SUBSTANTIAL_LBD,,False,NR1I1,VDR,Steroid hormone receptors
1ILG,1ILG_1,1,1ILG.A,A,A,PASS,,O75469,"[""X-RAY DIFFRACTION""]",2.52,2.52,0.279,0.279,146,433,288,1.0,NEAR_COMPLETE_LBD,,False,NR1I2,PXR,Nutritional sensors
1ILH,1ILH_1,1,1ILH.A,A,A,PASS,,O75469,"[""X-RAY DIFFRACTION""]",2.76,2.76,0.282,0.282,146,433,288,1.0,NEAR_COMPLETE_LBD,,False,NR1I2,PXR,Nutritional sensors
1K74,1K74_1,1,1K74.A,A,A,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.3,2.3,0.279,0.279,227,458,232,1.0,NEAR_COMPLETE_LBD,,False,NR2B1,RXRα,Nutritional sensors
1K74,1K74_2,2,1K74.B,B,D,PASS,,P37231,"[""X-RAY DIFFRACTION""]",2.3,2.3,0.279,0.279,238,503,266,1.0,NEAR_COMPLETE_LBD,,False,NR1C3,PPARγ,Nutritional sensors
1K7L,1K7L_1,1,1K7L.G,G,G,PASS,,Q07869,"[""X-RAY DIFFRACTION""]",2.5,2.5,0.284,0.284,239,466,228,1.0,NEAR_COMPLETE_LBD,,False,NR1C1,PPARα,Nutritional sensors
1K7L,1K7L_1,1,1K7L.E,E,E,PASS,,Q07869,"[""X-RAY DIFFRACTION""]",2.5,2.5,0.284,0.284,239,466,228,1.0,NEAR_COMPLETE_LBD,,False,NR1C1,PPARα,Nutritional sensors
1K7L,1K7L_1,1,1K7L.C,C,C,PASS,,Q07869,"[""X-RAY DIFFRACTION""]",2.5,2.5,0.284,0.284,239,466,228,1.0,NEAR_COMPLETE_LBD,,False,NR1C1,PPARα,Nutritional sensors
1K7L,1K7L_1,1,1K7L.A,A,A,PASS,,Q07869,"[""X-RAY DIFFRACTION""]",2.5,2.5,0.284,0.284,239,466,228,1.0,NEAR_COMPLETE_LBD,,False,NR1C1,PPARα,Nutritional sensors
1KB2,1KB2_3,3,1KB2.D,D,B,PASS,,P11473,"[""X-RAY DIFFRACTION""]",2.7,2.7,0.289,0.289,127,423,0,0.0,NO_LBD_OVERLAP,,False,NR1I1,VDR,Steroid hormone receptors
1KB2,1KB2_3,3,1KB2.C,C,A,PASS,,P11473,"[""X-RAY DIFFRACTION""]",2.7,2.7,0.289,0.289,127,423,0,0.0,NO_LBD_OVERLAP,,False,NR1I1,VDR,Steroid hormone receptors
1KB4,1KB4_3,3,1KB4.D,D,B,PASS,,P11473,"[""X-RAY DIFFRACTION""]",2.8,2.8,0.272,0.272,127,423,0,0.0,NO_LBD_OVERLAP,,False,NR1I1,VDR,Steroid hormone receptors
1KB4,1KB4_3,3,1KB4.C,C,A,PASS,,P11473,"[""X-RAY DIFFRACTION""]",2.8,2.8,0.272,0.272,127,423,0,0.0,NO_LBD_OVERLAP,,False,NR1I1,VDR,Steroid hormone receptors
1KB6,1KB6_3,3,1KB6.D,D,B,PASS,,P11473,"[""X-RAY DIFFRACTION""]",2.7,2.7,0.275,0.275,127,423,0,0.0,NO_LBD_OVERLAP,,False,NR1I1,VDR,Steroid hormone receptors
1KB6,1KB6_3,3,1KB6.C,C,A,PASS,,P11473,"[""X-RAY DIFFRACTION""]",2.7,2.7,0.275,0.275,127,423,0,0.0,NO_LBD_OVERLAP,,False,NR1I1,VDR,Steroid hormone receptors
1KKQ,1KKQ_1,1,1KKQ.D,D,D,PASS,,Q07869,"[""X-RAY DIFFRACTION""]",3.0,3.0,0.29,0.29,239,466,228,1.0,NEAR_COMPLETE_LBD,,False,NR1C1,PPARα,Nutritional sensors
1KKQ,1KKQ_1,1,1KKQ.C,C,C,PASS,,Q07869,"[""X-RAY DIFFRACTION""]",3.0,3.0,0.29,0.29,239,466,228,1.0,NEAR_COMPLETE_LBD,,False,NR1C1,PPARα,Nutritional sensors
1KKQ,1KKQ_1,1,1KKQ.B,B,B,PASS,,Q07869,"[""X-RAY DIFFRACTION""]",3.0,3.0,0.29,0.29,239,466,228,1.0,NEAR_COMPLETE_LBD,,False,NR1C1,PPARα,Nutritional sensors
1KKQ,1KKQ_1,1,1KKQ.A,A,A,PASS,,Q07869,"[""X-RAY DIFFRACTION""]",3.0,3.0,0.29,0.29,239,466,228,1.0,NEAR_COMPLETE_LBD,,False,NR1C1,PPARα,Nutritional sensors
1KNU,1KNU_1,1,1KNU.A,A,A,PASS,,P37231,"[""X-RAY DIFFRACTION""]",2.5,2.5,0.264,0.264,238,503,266,1.0,NEAR_COMPLETE_LBD,,False,NR1C3,PPARγ,Nutritional sensors
