record_index,professor_uniprot_id,professor_nr_code,professor_common_name,professor_group,professor_search_terms,requested_accession,resolved_primary_accession,uniprot_entry_name,reviewed_status,organism_scientific_name,organism_taxon_id,recommended_protein_name,primary_gene_name,gene_synonyms,sequence_length,sequence_version,entry_version,first_public_date,last_sequence_update_date,last_annotation_update_date,http_status,retrieved_at_utc,primary_accession_matches_professor,organism_is_homo_sapiens,organism_taxon_is_9606,entry_is_reviewed,naming_overlap_found,nomenclature_check,audit_status,audit_reason
12,Q14994,NR1I3,CAR,Nutritional sensors,"[""Nuclear receptor subfamily 1 group I member 3""]",Q14994,Q14994,NR1I3_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor subfamily 1 group I member 3,NR1I3,CAR,352,2,228,1999-07-15,2004-06-21,2026-09-02,200,2026-09-23T14:43:54.323833+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
13,P11474,NR3B1,ERRα,Nutritional sensors,"[""Steroid hormone receptor ERR1""]",P11474,P11474,ERR1_HUMAN,reviewed,Homo sapiens,9606,Steroid hormone receptor ERR1,ESRRA,ERR1;ESRL1;NR3B1,423,3,249,1989-10-01,2008-11-25,2026-09-02,200,2026-09-23T14:43:55.386818+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
14,O95718,NR3B2,ERRβ,Nutritional sensors,"[""Steroid hormone receptor ERR2""]",O95718,O95718,ERR2_HUMAN,reviewed,Homo sapiens,9606,Steroid hormone receptor ERR2,ESRRB,ERRB2;ESRL2;NR3B2,433,3,228,2001-02-21,2017-06-07,2026-09-02,200,2026-09-23T14:43:56.299237+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
15,P62508,NR3B3,ERRγ,Nutritional sensors,"[""Estrogen-related receptor gamma""]",P62508,P62508,ERR3_HUMAN,reviewed,Homo sapiens,9606,Estrogen-related receptor gamma,ESRRG,ERR3;ERRG2;KIAA0832;NR3B3,458,1,211,2004-07-19,2004-07-19,2026-09-02,200,2026-09-23T14:43:57.317233+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
16,Q96RI1,NR1H4,FXR,Nutritional sensors,"[""Bile acid receptor""]",Q96RI1,Q96RI1,NR1H4_HUMAN,reviewed,Homo sapiens,9606,Bile acid receptor,NR1H4,BAR;FXR;HRR1;RIP14,486,2,230,2002-05-27,2004-04-26,2026-09-02,200,2026-09-23T14:43:58.344630+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
17,P41235,NR2A1,HNF4α,Nutritional sensors,"[""Hepatocyte nuclear factor 4-alpha""]",P41235,P41235,HNF4A_HUMAN,reviewed,Homo sapiens,9606,Hepatocyte nuclear factor 4-alpha,HNF4A,HNF4;NR2A1;TCF14,474,3,260,1995-02-01,2007-05-29,2026-09-02,200,2026-09-23T14:43:59.336257+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
18,Q14541,NR2A2,HNF4γ,Nutritional sensors,"[""Hepatocyte nuclear factor 4-gamma""]",Q14541,Q14541,HNF4G_HUMAN,reviewed,Homo sapiens,9606,Hepatocyte nuclear factor 4-gamma,HNF4G,NR2A2,408,3,229,1999-07-15,2007-11-13,2026-09-02,200,2026-09-23T14:44:00.304775+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
19,O00482,NR5A2,LRH-1,Nutritional sensors,"[""Nuclear receptor subfamily 5 group A member 2""]",O00482,O00482,NR5A2_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor subfamily 5 group A member 2,NR5A2,B1F;CPF;FTF,541,2,230,1998-07-15,2000-05-30,2026-09-02,200,2026-09-23T14:44:01.445683+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
20,Q13133,NR1H3,LXRα,Nutritional sensors,"[""Oxysterols receptor LXR-alpha""]",Q13133,Q13133,NR1H3_HUMAN,reviewed,Homo sapiens,9606,Oxysterols receptor LXR-alpha,NR1H3,LXRA,447,2,238,2000-05-30,2002-09-19,2026-09-02,200,2026-09-23T14:44:02.330444+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
21,P55055,NR1H2,LXRβ,Nutritional sensors,"[""OXYSTEROLS RECEPTOR LXR-BETA""]",P55055,P55055,NR1H2_HUMAN,reviewed,Homo sapiens,9606,Oxysterols receptor LXR-beta,NR1H2,LXRB;NER;UNR,460,2,241,1996-10-01,2010-05-18,2026-09-02,200,2026-09-23T14:44:03.340650+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
22,P22736,NR4A1,NUR77,Nutritional sensors,"[""Nuclear receptor subfamily 4 group A member 1""]",P22736,P22736,NR4A1_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor subfamily 4immunitygroup A member 1,NR4A1,GFRP1;HMR;NAK1,598,1,245,1991-08-01,1991-08-01,2026-09-02,200,2026-09-23T14:44:04.340780+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
23,P43354,NR4A2,NURR1,Nutritional sensors,"[""Nuclear receptor subfamily 4 group A member 2""]",P43354,P43354,NR4A2_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor subfamily 4 group A member 2,NR4A2,NOT;NURR1;TINUR,598,1,239,1995-11-01,1995-11-01,2026-09-02,200,2026-09-23T14:44:05.434983+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
24,Q07869,NR1C1,PPARα,Nutritional sensors,"[""Peroxisome proliferator-activated receptor alpha""]",Q07869,Q07869,PPARA_HUMAN,reviewed,Homo sapiens,9606,Peroxisome proliferator-activated receptor alpha,PPARA,NR1C1;PPAR,468,2,261,1994-10-01,1998-07-15,2026-09-02,200,2026-09-23T14:44:06.379471+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
25,Q03181,NR1C2,PPARδ,Nutritional sensors,"[""Peroxisome proliferator-activated receptor delta""]",Q03181,Q03181,PPARD_HUMAN,reviewed,Homo sapiens,9606,Peroxisome proliferator-activated receptor delta,PPARD,NR1C2;PPARB,441,1,262,1993-10-01,1993-10-01,2026-09-02,200,2026-09-23T14:44:07.353429+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
26,P37231,NR1C3,PPARγ,Nutritional sensors,"[""Peroxisome proliferator-activated receptor gamma""]",P37231,P37231,PPARG_HUMAN,reviewed,Homo sapiens,9606,Peroxisome proliferator-activated receptor gamma,PPARG,NR1C3,505,3,292,1994-10-01,2001-04-27,2026-09-02,200,2026-09-23T14:44:08.421587+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
27,O75469,NR1I2,PXR,Nutritional sensors,"[""Nuclear receptor subfamily 1 group I member 2""]",O75469,O75469,NR1I2_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor subfamily 1 group I member 2,NR1I2,PXR,434,1,244,1999-07-15,1998-11-01,2026-09-02,200,2026-09-23T14:44:09.497471+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
28,P20393,NR1D1,Rev-erbα,Nutritional sensors,"[""Nuclear receptor subfamily 1 group D member 1""]",P20393,P20393,NR1D1_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor subfamily 1 group D member 1,NR1D1,EAR1;HREV;THRAL,614,1,247,1991-02-01,1991-02-01,2026-09-02,200,2026-09-23T14:44:10.374090+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
29,Q14995,NR1D2,Rev-erbβ,Nutritional sensors,"[""Nuclear receptor subfamily 1 group D member 2""]",Q14995,Q14995,NR1D2_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor subfamily 1 group D member 2,NR1D2,,579,4,215,1999-07-15,2021-09-29,2026-09-02,200,2026-09-23T14:44:11.378696+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
30,P35398,NR1F1,RORα,Nutritional sensors,"[""Nuclear receptor ROR-alpha""]",P35398,P35398,RORA_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor ROR-alpha,RORA,NR1F1;RZRA,523,2,235,1994-06-01,2014-04-16,2026-09-02,200,2026-09-23T14:44:12.379656+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
31,Q92753,NR1F2,RORβ,Nutritional sensors,"[""Nuclear receptor ROR-beta""]",Q92753,Q92753,RORB_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor ROR-beta,RORB,NR1F2;RZRB,470,3,208,1997-11-01,2007-01-23,2026-09-02,200,2026-09-23T14:44:13.555340+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
32,P51449,NR1F3,RORγ,Nutritional sensors,"[""Nuclear receptor ROR-gamma""]",P51449,P51449,RORG_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor ROR-gamma,RORC,NR1F3;RORG;RZRG,518,2,223,1996-10-01,2004-06-21,2026-09-02,200,2026-09-23T14:44:14.390193+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
33,P19793,NR2B1,RXRα,Nutritional sensors,"[""RETINOIC ACID RECEPTOR RXR-ALPHA""]",P19793,P19793,RXRA_HUMAN,reviewed,Homo sapiens,9606,Retinoic acid receptor RXR-alpha,RXRA,NR2B1,462,1,263,1991-02-01,1991-02-01,2026-09-02,200,2026-09-23T14:44:15.445349+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
34,P28702,NR2B2,RXRβ,Nutritional sensors,"[""Retinoic acid receptor RXR-beta""]",P28702,P28702,RXRB_HUMAN,reviewed,Homo sapiens,9606,Retinoic acid receptor RXR-beta,RXRB,NR2B2,533,2,251,1992-12-01,1996-02-01,2026-09-02,200,2026-09-23T14:44:16.384829+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
35,P48443,NR2B3,RXRγ,Nutritional sensors,"[""Retinoic acid receptor RXR-gamma""]",P48443,P48443,RXRG_HUMAN,reviewed,Homo sapiens,9606,Retinoic acid receptor RXR-gamma,RXRG,NR2B3,463,1,228,1996-02-01,1996-02-01,2026-09-02,200,2026-09-23T14:44:17.327586+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
36,Q13285,NR5A1,SF-1,Nutritional sensors,"[""Steroidogenic factor 1""]",Q13285,Q13285,STF1_HUMAN,reviewed,Homo sapiens,9606,Steroidogenic factor 1,NR5A1,AD4BP;FTZF1;SF1,461,2,250,1998-07-15,1998-01-01,2026-09-02,200,2026-09-23T14:44:18.433523+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
37,P13056,NR2C1,TR2,Nutritional sensors,"[""Nuclear receptor subfamily 2 group C member 1""]",P13056,P13056,NR2C1_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor subfamily 2 group C member 1,NR2C1,TR2,603,2,225,1990-01-01,2009-04-14,2026-09-02,200,2026-09-23T14:44:19.448681+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
38,P49116,NR2C2,TR4,Nutritional sensors,"[""Nuclear receptor subfamily 2 group C member 2""]",P49116,P49116,NR2C2_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor subfamily 2 group C member 2,NR2C2,TAK1;TR4,596,1,220,1996-02-01,1996-02-01,2026-09-02,200,2026-09-23T14:44:20.399401+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
39,P10589,NR2F1,COUP-TFI,Orphan receptors,"[""COUP transcription factor 1""]",P10589,P10589,COT1_HUMAN,reviewed,Homo sapiens,9606,COUP transcription factor 1,NR2F1,EAR3;ERBAL3;TFCOUP1,423,1,235,1989-07-01,1989-07-01,2026-09-02,200,2026-09-23T14:44:21.344699+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
40,P24468,NR2F2,COUP-TFII,Orphan receptors,"[""COUP transcription factor 2""]",P24468,P24468,COT2_HUMAN,reviewed,Homo sapiens,9606,COUP transcription factor 2,NR2F2,ARP1;TFCOUP2,414,1,228,1992-03-01,1992-03-01,2026-09-02,200,2026-09-23T14:44:22.418838+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
41,P51843,NR0B1,DAX-1,Orphan receptors,"[""Nuclear receptor subfamily 0 group B member 1""]",P51843,P51843,NR0B1_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor subfamily 0 group B member 1,NR0B1,AHC;DAX1,470,2,229,1996-10-01,2002-05-10,2026-09-02,200,2026-09-23T14:44:23.433022+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
42,P10588,NR2F6,EAR-2,Orphan receptors,"[""Nuclear receptor subfamily 2 group F member 6""]",P10588,P10588,NR2F6_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor subfamily 2 group F member 6,NR2F6,EAR2;ERBAL2,404,2,234,1989-07-01,2002-09-19,2026-09-02,200,2026-09-23T14:44:24.517014+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
43,Q15406,NR6A1,GCNF,Orphan receptors,"[""Nuclear receptor subfamily 6 group A member 1""]",Q15406,Q15406,NR6A1_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor subfamily 6 group A member 1,NR6A1,GCNF,480,2,219,2000-12-01,2000-12-01,2026-09-02,200,2026-09-23T14:44:25.515761+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
44,Q92570,NR4A3,NOR-1,Orphan receptors,"[""Nuclear receptor subfamily 4 group A member 3""]",Q92570,Q92570,NR4A3_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor subfamily 4 group A member 3,NR4A3,CHN;CSMF;MINOR;NOR1;TEC,626,3,226,1997-11-01,2006-03-21,2026-09-02,200,2026-09-23T14:44:26.548129+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
45,Q9Y5X4,NR2E3,PNR,Orphan receptors,"[""Photoreceptor-specific nuclear receptor""]",Q9Y5X4,Q9Y5X4,NR2E3_HUMAN,reviewed,Homo sapiens,9606,Photoreceptor-specific nuclear receptor,NR2E3,PNR;RNR,410,1,220,2000-12-01,1999-11-01,2026-09-02,200,2026-09-23T14:44:27.430672+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
46,Q15466,NR0B2,SHP,Orphan receptors,"[""Nuclear receptor subfamily 0 group B member 2""]",Q15466,Q15466,NR0B2_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor subfamily 0 group B member 2,NR0B2,SHP,257,2,214,2000-12-01,2000-12-01,2026-09-02,200,2026-09-23T14:44:28.367216+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
47,Q9Y466,NR2E1,TLX,Orphan receptors,"[""Nuclear receptor subfamily 2 group E member 1""]",Q9Y466,Q9Y466,NR2E1_HUMAN,reviewed,Homo sapiens,9606,Nuclear receptor subfamily 2 group E member 1,NR2E1,TLX,385,1,212,2000-12-01,1999-11-01,2026-09-02,200,2026-09-23T14:44:29.372828+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
